,2490,2668,2760,2776,2809,2910,3011,3032,3043,3277,3334,10486,11174,11175,11176,11177,11178,11179,11180,11181,11182,11183,11184,11185,11186,11187,11188,11189,11190,11191,11192,11193,11194,11195,11196,11197,11198,11199,11200,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11223,11224,11225,11226,11227,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11240,11241,11242,11243,11244,11245
G06003702941101,,,524.61,807.75,1259.82,286.82,,,,,1014.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319.66,,,,,,,580.02,640.02,,632.09,624.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702941102,,,324.17,372.72,824.8,401.7,,,,,,,,,889.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.58,439.58,685.82,197.07,424.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702941103,,,,261.83,528.34,,,,,,,642.67,,633.35,434.43,488.98,,,,,,,,,,,,,,481.34,,,,,,,,,,,,,,,,,,,,,,,,389.36,512.05,,,,,720.53,,,,,,,,,,,,,,,,,,,,,,,
G06003702941201,,,,,,,,,,,,,,,1220.1,1274.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.36,1367.45,,1561.5,1600.97,1561.5,1561.5,1456.39,,1459.83,
G06003702941202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.87,,420.6,387.05,320.72,,260.13,328.76,260.13,260.13,155.02,,228.34,
G06003702941203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.7,1711.15,1644.82,,1586.08,1654.71,1586.08,1586.08,1480.97,1580.4,1552.44,
G06003702942001,,,700.44,,,,,,,,397.99,,,,,,,,,,,,,,,,,,,,,,,,678.81,,,,,,,,491.36,381.67,214.98,,,,,,,755.85,466.22,,581.13,800.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702942002,,,,537.94,627.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.58,,,,,,,,488.24,,211.11,,,,,,,756.79,613.88,,530.08,801.35,,,618.05,,,,,,,,,,,,,,,,,,,,,,,,
G06003702942003,,,,,378.64,,718.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.91,,,,,,,,103.13,659.69,202.21,,586.74,,622.02,586.74,,,,,,,,,653.9,,,,,,,,,,,,,,,,,,,,,,,,
G06003702943011,,,,,,,,,,,541.36,,258.07,,,,,,,,,,,,,,,,,,,,,,1056.56,,,,,,,,867.31,335.11,895.26,,987.83,987.83,,987.83,1157.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
