,143484120,495574391,559689217,801819601,823635523,823635974,841587231,842039378,939097664
G06001100001001,14.9,15.4,,10.18,28.31,15.15,15.26,14.93,9.81
G06001100001002,18.9,19.4,,6.12,26.06,19.15,19.26,18.92,5.75
G06001100001003,16.44,15.9,,0.75,20.15,16.7,16.68,16.38,0.81
G06001100001004,22.85,22.57,,7.05,24.68,23.11,23.22,22.88,6.57
G06001100002001,0.59,1.1,14.72,15.39,14.83,0.85,0.96,0.62,
G06001100002002,6.31,6.72,10.11,19.88,10.22,6.05,5.94,6.4,
G06001100002003,0.95,1.33,15.07,16.27,15.18,1.21,1.31,0.85,
G06001100002004,1.88,2.39,16.02,14.57,16.12,2.14,2.25,1.91,
G06001100002005,6.41,6.92,17.93,11.43,18.04,6.67,6.78,6.44,
G06001100003001,19.87,18.86,,18.34,19.08,20.13,19.64,19.34,19.0
G06001100003002,9.48,8.47,9.03,11.48,9.14,9.74,9.25,8.95,
G06001100003003,9.83,8.82,9.65,10.83,9.76,10.09,9.6,9.3,
G06001100003004,11.95,10.94,,8.36,13.49,12.21,11.72,11.41,9.01
G06001100004001,14.22,14.64,9.06,27.67,9.17,13.97,13.86,14.32,
G06001100004002,17.15,17.57,3.47,22.92,3.42,16.9,16.79,17.25,
G06001100004003,38.28,38.69,24.63,41.44,24.55,38.02,37.91,38.37,
G06001100005001,9.55,10.57,22.93,24.68,23.04,9.3,9.79,10.09,
G06001100005002,0.27,1.28,14.01,16.1,14.12,0.14,0.5,0.81,
G06001100005003,0.63,1.05,13.5,16.61,13.61,0.38,0.27,0.73,
G06001100005004,0.15,0.87,13.98,16.13,14.09,0.41,0.22,0.54,
