,11305788,11809859,11956139,12011786,12411985,164984865,165360810,1714270,207122221,236338770,236347364,236347365,23891245,272694275,275512660,275512662,28913899,315569445,315569447,321057512,324055,328861824,328861826,328861827,328863234,328865605,328867175,328867336,328867399,329059887,329233734,329233735,329233815,329233816,330496396,331468420,334313522,334313524,334313542,334314809,364595641,37804621,37804633,37812256,389455588,389489991,395475916,39603572,39603575,39603589,39603595,39607924,397519055,398398712,398806965,401123231,401123235,402962263,402993186,402996436,403707978,404137012,404137020,430277737,44288876,44289113,469348508,469348510,469348511,470019377,474100496,475413600,548077905,548258430,557411138,557520556,563539862,580111450,580122850,604354065,604354066,604390572,690611873,691358731,691878517,692913008,692913016,692913016,692923006,694622587,694623633,694624491,694626763,694627491,694829919,695493489,695570433,695580846,695716973,695721114,695754885,695758668,697877411,697883375,699022414,699022761,699023557,699486653,724872058,742735382,76171210,76345464,764489674,770257071,772990919,775753134,776071906,781163731,781163732,786376816,786376817,786376820,786381064,786381426,786385986,796591914,796591915,804781066,804781068,804781069,804785577,804968977,805019807,805021384,813549312,813549315,815568305,818614279,834730270,845186195,847811426,847840914,847840918,847926711,847926713,860487394,876061480,916473887,919608526
G06011100001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47,,,,,,,,,,,,,,67.62,67.62,,68.09,67.92,,,,,,,,,,,,,69.46,,,,67.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.25,67.27,,74.69,,,,,,,,,,,
G06011100002001,,,,,30.61,,,,,,,,,,,,,,,,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,21.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,,9.08,,,8.66,8.5,,,,,,,,,,1.41,1.41,,,,
G06011100002002,,,,,,,,,,,,,,,,,,,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74,9.03,8.98,,,8.56,8.4,,,,,,,,8.81,8.96,1.13,1.13,,,,
G06011100003021,,,,,,,,,,,,,,,,,,,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,12.9,12.85,,,12.13,12.8,,,,,,,12.4,12.14,12.83,,,,,,
G06011100003022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.83,0.78,,,1.4,0.72,,,,,,,2.41,1.4,1.01,8.76,8.76,,,,
G06011100003023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.49,0.44,,,0.28,0.4,,,,,,,1.29,0.27,0.42,8.19,,,,,
G06011100003031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98,,,,,,,,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.37,1.32,,,0.61,1.29,,,,,,,0.5,0.61,1.3,,,,,,
G06011100003032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33,,,,,,,,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,1.82,1.77,,,1.06,1.74,,,,,,,0.43,1.06,1.75,,,,,,
G06011100003033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,5.08,5.03,7.92,,4.31,4.98,,,,,,,4.58,4.31,5.0,,,,,,
