,288960028,524375435,601163393,774532229,930690137
G06010500001011,,39.96,28.12,40.68,70.19
G06010500001012,,15.04,30.62,14.7,32.6
G06010500001013,,5.47,21.05,5.12,25.36
G06010500001021,,31.21,19.37,31.93,61.44
G06010500001022,,1.72,13.86,2.43,31.95
G06010500001023,,2.95,16.79,3.66,33.18
G06010500002001,50.71,30.93,44.78,31.64,
G06010500002002,37.2,51.93,,52.64,57.39
G06010500003001,28.56,41.72,,41.37,13.1
G06010500003002,16.92,41.17,,40.83,12.55
G06010500003003,25.18,32.66,,32.31,4.04
G06010500004001,57.47,74.07,,73.72,49.79
G06010500004002,52.83,95.47,,95.12,66.85
