G06003900006023,,1.78,39.94,5.98,,2.5,41.78,26.63,40.79,16.88,12.76,15.74
G06003900006031,,2.0,38.62,6.37,,4.23,41.46,26.31,39.46,18.45,12.51,17.3
G06003900006032,,1.71,38.84,6.13,,3.7,41.44,26.29,39.69,17.92,12.49,16.77
G06003900006041,,2.23,39.86,6.43,,2.82,42.11,26.96,40.7,17.14,13.15,15.99
G06003900006042,,1.96,39.09,6.38,,3.58,41.72,26.57,39.94,17.64,12.76,16.5
G06003900007001,,1.99,40.84,5.59,,1.8,42.46,27.31,41.68,17.95,12.23,16.81
G06003900007002,,2.85,41.14,6.45,,1.38,42.98,27.83,41.98,17.17,13.09,16.03
G06003900007003,,3.56,42.4,7.1,,0.62,44.03,28.88,43.24,18.46,13.74,17.32
G06003900007004,,2.91,41.8,6.18,,1.17,43.43,28.28,42.64,18.4,12.82,17.25
G06003900007005,,2.28,41.13,5.83,,1.36,42.76,27.61,41.97,17.99,12.47,16.84
G06003900007006,,2.92,41.92,5.67,,2.07,43.55,28.4,42.76,18.76,12.73,17.61
G06003900008001,,1.4,40.24,5.49,,2.73,41.88,26.72,41.08,17.3,12.16,16.16
G06003900008002,,1.08,39.92,5.21,,2.67,41.55,26.4,40.76,17.51,11.99,16.36
G06003900008003,,0.76,39.62,4.86,,2.74,41.25,26.1,40.47,17.86,11.74,16.72
G06003900008004,,0.86,40.16,4.49,,2.88,41.79,26.64,41.0,18.11,11.16,16.97
G06003900008005,,1.21,40.22,4.81,,2.38,41.85,26.7,41.07,18.0,11.46,16.86
G06003900008006,,1.68,40.53,5.17,,1.98,42.16,27.01,41.37,17.99,11.81,16.85
G06003900009001,,0.32,39.16,5.1,,3.6,40.79,25.64,40.0,18.6,11.52,17.45
G06003900009002,,0.58,39.88,4.47,,3.54,41.51,26.36,40.72,18.63,11.59,17.48
G06003900009003,,1.08,40.38,3.93,,3.55,42.01,26.86,41.23,18.79,11.07,17.64
G06003900010001,43.72,7.67,,3.12,45.14,9.61,45.27,28.55,,24.97,7.51,23.82
G06003900010002,32.94,15.81,,11.26,34.36,17.75,34.49,17.77,,33.11,5.19,31.96
G06003900010003,46.53,10.07,,6.8,47.95,12.01,48.08,31.35,,27.37,10.35,26.23
G06003900010004,,10.37,49.37,10.86,,7.92,51.0,35.85,50.21,22.53,17.24,21.38
