,130503947,131640755,131640977,153309100,154617571,196029542,239947392,28614009,28616328,28616333,28616784,28616791,28616799,31442770,343590278,343590281,387044581,41230822,462012765,462012770,462012780,462012781,535079712,538122166,541503579,60429424,616826318,616826319,626680369,628085614,628085617,654553398,654555502,673727667,683264115,711498727,721488936,722649609,722653940,724455928,760893459,866132003,866132881,868496534,868503345,868761284,8715080,942753165
G06004500115003,,,,,,,,0.33,0.29,1.67,,1.98,,,,,,2.29,2.11,,,,,,,,,,,1.31,1.26,,,,,,,1.59,,0.8,,,,,,,,
G06004500115004,,,,,,,,,,1.52,,1.05,,,,,,0.36,1.04,1.51,,,,,,,,,1.33,0.91,0.85,,,,,,,0.87,,,,,,,,,1.26,
G06004500115005,,,,,,,,,,2.22,,1.52,,,,,,0.46,1.22,1.69,,,,,,,,,1.51,1.6,1.55,,,,,,,1.56,,,,,,,,,1.45,
G06004500116001,,,,,,,,,,1.02,,0.56,,,,,,0.85,0.58,1.02,,,,,,,,,0.87,0.41,0.36,,,,,,,0.37,,,,,,,,,0.8,
G06004500116002,,,,2.69,,,,,,,1.37,1.0,,,,,,1.14,0.7,1.17,1.14,,,,,,,,0.99,,,,,,,,,1.4,,,,,,,,,0.93,
G06004500116003,,,,3.41,,,,,,,1.22,1.73,0.66,,,,,,1.45,1.48,0.92,0.92,,,,,,,1.35,,,,,,,,,,,,,,,,,,1.42,
G06004500116004,,,,2.96,,,,,,,0.34,0.63,0.83,,,,,,0.4,0.43,0.31,0.31,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.31,
G06004500117001,,,,,,,,7.55,7.08,6.71,,6.24,,,,,,4.95,6.19,,,,,,,,,,,6.09,6.04,,,,,,,6.06,,6.49,,,,,,,,
G06004500117002,,,,,,,,5.55,5.08,4.7,,4.24,,,,,,2.95,,,,,,,,,,,,4.09,4.04,,,,,,,4.05,6.81,4.49,,,,,,,,
G06004500117003,,,,1.19,,,,,,,3.51,3.32,,,,,,2.03,3.28,3.59,,,,,,,,,3.42,,3.13,,,,,,,3.14,,,,,,,,,3.48,
G06004500117004,,,,0.49,,,,,,,2.84,3.12,3.11,,,,,,2.8,2.92,2.61,2.61,,,,,,,2.74,,,,,,,,,,,,,,,,,,2.81,
G06004500117005,,,,2.8,,,,,,,4.09,4.38,4.36,,,,,,4.06,4.17,3.87,3.87,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.06,
G06004500118001,,,,17.58,,,,,,,16.24,,15.29,,,,,,,16.5,15.94,15.94,,,,,,,16.37,,,,,30.02,,,,,,,,,,,,57.68,,56.99
G06004500118002,,,,14.59,,,,,,,13.42,,12.47,,,,,,13.67,13.69,13.12,13.12,,,,,,,13.56,,,,,27.2,,,,,,,,,,,,,13.62,
