,10527735,106479449,164242587,166197107,167548526,169316474,174288975,174290742,177076307,185505837,217114148,279554540,32561950,32562030,32568046,32882300,33761126,374890458,374890837,374890945,374971062,375158654,38063919,38063957,38064249,38064252,39083970,39116733,39119502,39357994,402273118,402283305,402288626,402296491,403556785,403775095,403775096,406582415,407110608,407110616,407110618,415757633,437486619,438737112,438859960,438937971,439834889,460689967,468498789,468501591,468501593,470508636,478539127,492847219,506095586,519781556,519781557,526582469,532782822,534596710,536735760,536776474,538572758,539002404,539924502,539951089,548881868,548883578,55420037,558711321,563493029,563493031,564181871,581704842,60017768,60531773,60726603,607827495,611712807,616216435,616836575,619286022,655452048,657944746,672821274,672821281,672821286,687268173,687274241,687274246,687274253,687274257,687996493,687996500,693768308,694008098,697882715,706231381,709578965,739705227,753784862,759793127,759793128,762175699,762175700,762581480,762581481,762581486,780575434,825469113,839202438,958350482,966053369
G06009502501031,2.13,,2.27,2.36,1.63,1.89,,3.01,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,1.66,,,,,,,,,,,,1.28,,,,
G06009502501032,3.13,,2.06,1.29,2.54,2.74,,1.93,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,1.76,,,,,,,,,,,,1.55,,,,
G06009502501033,2.62,,2.56,1.66,2.12,2.38,,2.3,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,2.16,,,,,,,,,,,,1.77,,,,
G06009502501041,,,3.37,1.64,2.29,2.55,,2.28,3.06,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,2.33,,,,,,,,,,,,1.95,,,,
G06009502501042,3.07,,3.51,1.38,2.57,2.83,,2.02,3.05,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,2.22,,,,
G06009502501051,,,1.47,2.79,2.64,2.84,,3.23,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,2.62,,,,,,,,,1.65,,,2.56,
G06009502501052,,,2.88,1.5,3.36,3.56,,1.46,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,3.66,,,,,,,,,2.38,,,3.6,
G06009502501053,,,2.59,1.42,3.07,3.27,,1.94,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,3.8,,,,,,,,,2.08,,,3.73,
G06009502501061,,,3.93,1.15,3.99,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,,,,,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,4.08,,,,,,,,,3.42,,,4.02,
G06009502501062,,,3.46,0.68,3.52,3.78,,1.1,4.41,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,4.44,,,,,,,,,2.95,,,,
G06009502502001,2.44,,3.25,1.84,1.94,2.2,,2.49,2.57,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,1.63,,,,
G06009502502002,2.33,,3.47,2.07,1.83,2.09,,2.71,2.45,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,1.85,,,,
G06009502502003,2.4,,3.63,2.3,1.9,2.16,,2.95,2.26,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,2.02,,,,
G06009502503001,1.76,,2.53,2.14,1.26,1.52,,2.79,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,1.3,,,,,,,,,,,,0.91,,,,
G06009502503002,1.51,,2.77,2.57,1.01,1.27,,,2.77,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,1.54,,,,,,,,,,,,1.16,,,,
G06009502503003,1.84,,3.08,2.17,1.34,1.6,,,2.65,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,1.85,,,,,,,,,,,,1.46,,,,
G06009502504001,1.45,,,2.71,1.04,1.44,,,2.64,2.32,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,1.78,,,,,,,,,,,,1.4,,,,
G06009502504002,1.64,,,2.89,1.24,1.63,,,2.19,2.51,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,2.09,,,,,,,,,,,,1.78,,,,
