,2490,2668,2760,2776,2809,2910,3011,3032,3043,3277,3334,10486,11174,11175,11176,11177,11178,11179,11180,11181,11182,11183,11184,11185,11186,11187,11188,11189,11190,11191,11192,11193,11194,11195,11196,11197,11198,11199,11200,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11227,11228,11229,11230,11231
G06003702941101,1869.55,1525.78,524.61,807.75,1259.82,286.82,1620.49,1164.23,1538.06,1725.95,1014.55,1383.76,1243.78,1298.33,1735.61,2012.8,1820.49,1991.42,1869.88,1778.15,1980.96,1666.76,1738.58,1792.92,1212.83,1675.61,1714.91,1836.52,2018.59,1583.82,1509.18,1508.18,1568.52,1714.91,1829.94,1526.79,1212.19,1319.66,1045.02,1200.58,1537.36,1200.58,2704.47,580.02,640.02,1120.85,632.09,624.59,1658.48,1697.84,1650.08,1461.62,2032.27,1820.81,1735.61,1767.07,1820.81,1483.78,1667.68,1471.05,1458.04,1391.14,1786.99,1786.99,1786.99,1556.83,1767.52,1483.51,1845.51
G06003702941102,1669.11,1090.75,324.17,372.72,824.8,401.7,1185.47,963.78,1337.61,1371.87,814.1,948.74,889.7,944.25,1300.58,1658.72,1516.82,1556.39,1669.43,1577.7,1780.51,1466.32,1538.13,1438.84,777.8,1240.58,1514.47,1636.08,1818.14,1383.37,1308.74,1307.73,1368.07,1514.47,1629.49,1208.64,1011.74,931.51,844.58,1000.13,1336.91,1000.13,2504.02,379.58,439.58,685.82,197.07,424.14,1223.45,1262.81,1215.06,1026.59,1735.91,1580.27,1300.58,1566.63,1580.27,1129.7,1313.6,1116.97,1103.96,1037.06,1432.91,1432.91,1432.91,1202.75,1413.44,1129.43,1584.01
G06003702941103,1424.02,780.9,779.98,261.83,528.34,857.09,882.02,1069.94,1443.77,916.6,1231.29,642.67,434.43,488.98,969.35,1203.45,1185.6,1225.16,1424.34,1579.68,1630.39,1572.47,1644.29,983.57,481.34,909.35,1383.38,1742.23,1495.29,1489.53,1414.89,1413.89,1474.23,1383.38,1419.88,926.89,1428.93,895.12,950.73,1106.29,1160.8,1106.29,2921.21,796.77,856.77,389.36,512.05,879.96,915.38,954.74,911.61,720.53,1404.68,1275.56,969.35,1289.71,1275.56,674.43,857.78,661.7,648.69,581.78,977.63,977.63,977.63,747.48,958.17,674.16,1252.78
G06003702941201,2214.76,1850.65,1335.27,1299.74,1751.32,1412.38,2104.0,1974.89,2348.72,1702.27,1825.21,1864.66,1220.1,1274.65,1760.1,1989.12,1976.34,2015.91,2215.09,2370.43,2421.14,2477.42,2549.24,1769.24,1704.32,1700.1,2174.12,2647.18,2286.04,2394.48,2276.16,2318.84,2345.9,2174.12,2210.63,2136.73,2022.85,1859.6,1855.68,2011.24,2322.79,2011.24,3514.36,1390.68,1450.68,1612.34,1125.15,1435.25,1802.07,1841.43,2133.59,1942.51,2195.42,2162.97,1760.1,2080.45,2162.97,1460.1,2009.74,1447.37,1434.36,1367.45,1561.5,1561.5,1561.5,1456.39,1555.82,1459.83,2043.53
G06003702941202,1282.54,918.43,1084.99,1439.51,986.98,1322.78,1202.38,1493.78,1419.01,558.12,1464.1,943.67,1049.2,1165.04,827.87,1056.9,1044.12,1083.69,1282.86,1438.2,1488.91,1547.71,1619.52,625.08,1115.28,767.87,1241.9,1717.47,1353.81,1464.77,1343.94,1448.64,1413.67,1241.9,1278.4,1578.6,1661.74,1547.37,1374.58,1530.14,1390.56,1530.14,3131.89,1029.58,1089.58,1140.31,1355.77,1184.96,869.84,909.2,1231.97,1021.58,1263.2,1230.74,827.87,1148.23,1230.74,527.87,1077.52,420.6,387.05,320.72,260.13,260.13,260.13,155.02,599.69,228.34,1111.3
G06003702941203,2599.77,2235.66,2181.76,2146.23,2304.21,2258.87,2519.61,2811.01,2736.24,1804.49,2671.69,2260.9,2066.58,2121.13,2145.11,2313.85,2361.35,2400.92,2600.09,2755.44,2806.15,2864.94,2936.75,1856.19,2432.51,2085.11,2559.13,3034.7,2671.04,2782.0,2661.17,2765.87,2730.91,2559.13,2595.63,2895.84,2869.33,2706.08,2691.81,2847.37,2707.79,2847.37,4360.85,2237.17,2297.17,2457.54,1971.64,2281.73,2187.07,2226.43,2549.2,2338.81,2580.43,2547.97,2145.11,2465.46,2547.97,1845.11,2394.75,1744.7,1711.15,1644.82,1586.08,1586.08,1586.08,1480.97,1580.4,1552.44,2428.53
G06003702942001,1522.05,1166.66,700.44,831.79,652.16,874.13,989.74,816.72,1190.55,1158.44,397.99,931.84,676.26,792.11,1211.71,1445.29,1427.95,1467.52,1522.37,1430.64,1633.46,1319.26,1391.07,1225.4,877.88,1151.71,1343.46,1489.02,1671.08,1236.31,1161.68,1160.67,1221.01,1343.46,1458.48,491.36,381.67,214.98,697.52,853.07,895.92,853.07,1863.82,755.85,466.22,805.5,581.13,800.41,1050.81,1090.18,925.45,937.72,1647.03,1288.22,1211.71,1419.57,1288.22,916.26,1465.91,903.53,890.52,823.62,1219.47,1219.47,1219.47,989.32,1200.01,916.0,1473.49
G06003702942002,1522.38,1141.49,701.38,537.94,627.46,875.07,682.34,817.05,1190.88,1143.57,707.18,906.35,661.39,777.24,1180.74,1430.42,1396.98,1436.55,1522.7,1430.97,1633.79,1319.59,1391.4,1210.54,853.18,1120.74,1178.51,1489.35,1671.41,1236.64,1162.01,1161.0,1221.34,1178.51,1293.53,488.24,690.86,211.11,697.85,853.4,883.23,853.4,2173.02,756.79,613.88,780.8,530.08,801.35,1018.77,979.41,618.05,912.23,1616.06,984.23,1180.74,1419.9,984.23,901.39,1451.04,888.66,875.66,808.75,1204.6,1204.6,1204.6,974.45,1185.14,901.13,1170.14
G06003702942003,1255.72,893.13,867.82,762.22,378.64,1105.61,718.19,550.39,924.22,884.91,684.8,658.32,402.74,518.58,938.19,1171.76,1154.43,1194.0,1256.04,1164.31,1367.13,1052.93,1124.74,951.88,604.36,878.19,1069.61,1222.69,1404.76,969.98,895.35,894.34,954.68,1069.61,1184.63,103.13,659.69,202.21,431.19,586.74,622.02,586.74,2121.11,812.41,872.41,531.98,938.81,967.8,777.29,816.65,653.9,664.19,1373.51,1014.37,938.19,1153.24,1014.37,642.74,1192.38,630.01,617.0,550.1,945.95,945.95,945.95,715.79,926.48,642.47,1199.64
G06003702943011,1656.81,1580.9,1407.1,1518.95,1066.41,1580.79,1427.08,951.48,1325.31,1572.68,541.36,1346.09,1090.51,1206.35,1625.96,1859.53,1607.74,1881.77,1657.13,1565.4,1768.22,1454.02,1525.83,1639.65,1292.13,1565.96,1502.17,1623.78,1805.85,1371.07,1296.44,1295.43,1355.77,1502.17,1617.19,867.31,335.11,895.26,832.28,987.83,1324.62,987.83,1157.17,1462.51,1172.88,1219.75,1287.79,1507.07,1465.06,1504.42,1386.02,1351.97,1819.53,1608.06,1625.96,1554.33,1608.06,1330.51,1880.15,1317.78,1304.77,1237.87,1633.72,1633.72,1633.72,1403.56,1614.26,1330.24,1632.76
G06003702943012,1527.44,1214.45,1189.15,1152.5,699.96,1426.94,1060.63,822.11,1195.94,1206.24,859.15,979.64,724.06,839.91,1259.51,1493.09,1475.75,1515.32,1527.76,1436.03,1638.85,1324.65,1396.46,1273.2,925.68,1199.51,1372.8,1494.41,1676.48,1241.71,1167.07,1166.06,1226.4,1372.8,1487.82,565.62,652.91,842.49,702.91,652.72,995.69,652.72,1534.47,1133.74,1193.74,853.3,1330.24,1289.12,1098.61,1137.97,1019.57,985.52,1690.16,1381.18,1259.51,1424.96,1381.18,964.06,1513.71,951.33,938.32,871.42,1267.27,1267.27,1267.27,1037.12,1247.81,963.8,1503.4
G06003702943021,951.92,1334.87,1373.72,1337.07,884.53,1611.51,1245.2,659.05,530.37,1390.81,1414.85,1164.21,908.64,1024.48,1127.23,1677.66,902.86,1188.28,952.25,860.52,1063.33,659.55,820.94,1457.78,1110.25,1302.36,768.57,918.89,1100.96,666.19,298.37,561.83,219.81,768.57,880.8,1099.07,1389.74,1142.98,778.26,814.14,1032.18,814.14,2132.65,1318.31,1378.31,1037.87,1514.81,1473.69,1283.19,1322.55,1204.15,1170.09,1114.64,1067.12,1127.23,849.44,1067.12,1148.64,1491.68,1135.91,1122.9,1055.99,1451.84,1451.84,1451.84,1221.69,1432.38,1148.37,899.17
G06003702943022,1414.36,1190.61,1165.3,1128.65,676.12,1403.09,1036.79,513.64,1082.87,1182.39,1206.44,955.8,700.22,816.06,1235.66,1469.24,1365.3,1491.48,1414.69,1322.96,1525.77,1211.57,1283.38,1249.36,901.84,1175.66,1224.66,1381.33,1563.4,1128.63,630.25,1018.35,834.68,1224.66,1339.68,890.65,1172.18,934.57,632.85,521.46,777.72,521.46,1913.96,1109.89,1169.89,829.45,1306.39,1265.27,1074.77,1114.13,995.73,961.67,1577.08,1170.22,1235.66,1311.88,1170.22,940.22,1489.86,927.49,914.48,847.57,1243.42,1243.42,1243.42,1013.27,1223.96,939.95,1355.26
G06003702945101,1273.03,933.97,907.02,954.49,501.95,1144.81,473.5,350.73,941.54,1008.22,941.19,697.51,526.05,641.9,971.9,1295.07,1188.14,1227.71,1273.36,1181.63,1384.44,1070.24,1142.05,1075.19,727.67,911.9,824.2,1240.0,1422.07,987.3,912.66,619.97,972.0,824.2,939.23,413.0,916.08,687.43,448.5,304.91,376.24,304.91,2353.69,851.61,911.61,655.29,1132.22,1006.99,809.93,770.57,409.22,703.39,1407.22,768.97,971.9,1170.55,768.97,766.05,1245.46,753.32,740.31,673.41,1069.26,1069.26,1069.26,839.11,1049.8,765.78,954.24
G06003702945102,1024.15,951.29,1117.85,1368.1,915.56,1355.64,884.06,251.16,692.66,1421.83,1316.48,976.53,939.66,1055.5,875.37,1708.68,975.09,1131.18,1024.48,932.75,1135.56,821.36,893.18,1488.8,1141.28,918.78,461.34,991.12,1173.19,738.42,663.79,254.6,723.12,461.34,576.36,842.27,1291.37,1105.44,370.36,631.53,429.86,631.53,2451.73,1062.44,1122.44,1068.9,1388.63,1217.82,816.81,777.45,819.77,1054.44,1186.87,455.91,875.37,921.68,455.91,1179.66,943.61,1166.93,1153.92,1087.02,1482.87,1482.87,1482.87,1252.71,1463.4,1179.39,591.94
G06003702945201,953.06,470.91,468.21,813.21,360.67,706.0,0.0,755.46,1089.53,914.6,847.32,258.71,432.42,548.27,498.39,1201.45,714.64,754.21,953.38,1108.72,1159.43,1218.23,1290.04,981.56,410.39,438.39,746.33,1387.99,1024.33,1135.29,1014.46,953.0,1084.19,746.33,861.35,819.52,1044.97,789.09,636.25,778.41,454.2,778.41,2537.24,412.8,472.8,503.17,739.0,568.19,336.43,297.07,64.29,264.58,933.72,430.46,498.39,818.75,430.46,672.42,771.95,659.69,646.68,579.78,975.63,975.63,975.63,745.48,956.17,672.16,616.37
G06003702945202,797.11,495.38,661.94,1016.47,563.93,899.73,430.46,656.58,974.94,1108.33,1041.05,520.63,626.15,742.0,468.56,1370.22,574.59,724.37,832.43,987.77,1038.48,1103.65,1175.46,1175.29,692.23,462.87,315.86,1273.41,981.14,1020.7,899.88,522.6,969.61,315.86,430.88,1114.98,1238.7,1086.36,775.78,1036.96,393.75,1036.96,2687.82,606.53,666.53,717.27,932.73,761.91,360.9,321.54,366.18,598.53,903.88,0.0,468.56,694.89,0.0,866.15,487.71,853.42,840.41,773.51,1169.36,1169.36,1169.36,939.21,1149.9,865.89,185.91
G06003702946101,854.99,462.76,534.03,776.78,436.02,771.82,582.39,942.83,991.46,980.42,913.15,324.53,498.25,614.09,400.33,1056.18,616.57,656.14,855.32,1010.66,1061.37,1120.16,1191.98,1047.39,372.98,340.33,814.35,1289.93,926.27,1037.22,916.39,1021.09,986.13,814.35,850.86,1027.65,1110.79,996.42,823.62,979.18,963.02,979.18,2603.07,478.62,538.62,443.62,804.82,634.01,442.3,481.66,611.98,402.38,835.65,803.2,400.33,720.68,803.2,738.25,537.86,725.51,712.51,645.6,1014.88,1014.88,1014.88,811.3,1021.99,737.98,683.76
