,2490,2668,2760,2776,2809,2910,3011,3032,3043,3277,3334,10486,11174,11175,11176,11177,11178,11179,11180,11181,11182,11183,11184,11185,11186,11187,11188,11189,11190,11191,11192,11193,11194,11195,11196,11197,11198,11199,11200,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11223,11224,11225,11226,11227,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11240,11241,11242,11243,11244,11245
G06003702941101,,,0.41,0.63,0.98,0.22,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,0.86,0.77,,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702941102,,,0.25,0.29,0.64,0.31,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.43,0.53,0.15,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702941103,,,,0.2,0.41,,,,,,,0.5,,0.49,0.26,0.38,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,
G06003702941201,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.26,,1.21,1.27,1.21,1.21,1.13,,1.19,
G06003702941202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,0.33,0.3,0.25,,0.2,0.26,0.2,0.2,0.12,,0.18,
G06003702941203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.25,1.2,,1.16,1.21,1.16,1.16,1.07,1.15,1.13,
G06003702942001,,,0.54,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,0.38,0.3,0.17,,,,,,,0.43,0.34,,0.45,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702942002,,,,0.42,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,0.38,,0.16,,,,,,,0.43,0.34,,0.41,0.62,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,
G06003702942003,,,,,0.52,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,0.08,0.51,0.16,,0.59,,0.48,0.59,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,
