G06003702943011,,,,,,,,,,,0.42,,0.2,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,0.67,0.26,0.7,,0.8,0.8,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702943012,,,,,,,,,,,0.67,,0.33,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,0.44,0.51,0.65,,0.51,0.51,,0.51,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702943021,,,,,,,,0.51,0.41,,,,,,,,0.33,,,,,0.38,,,,,,,,,,,,,,,0.23,0.44,0.44,0.17,,,,,,0.33,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702943022,,,,,,,,0.4,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.49,0.79,,,,,,,,0.45,0.41,0.41,0.6,0.41,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702945101,,,,,,,0.37,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,0.32,,,0.46,0.21,0.21,0.29,0.21,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
G06003702945102,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,0.2,0.2,,0.36,0.45,,,,0.15,,0.49,0.33,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,
G06003702945201,,0.37,,,,,0.0,,,,,0.2,,0.19,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,0.26,0.23,0.05,0.21,,,,,,,,,,,,,,,,,,,,,,,
G06003702945202,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.13,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.28,0.25,,,,,0.0,0.22,,,0.0,,,,,,,,0.22,,,,,,,,0.14
G06003702946101,,0.36,,,,,,,,,,0.25,,0.26,0.44,0.51,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,0.46,,,0.31,,,,,,,,,,,0.42,,,,,,,,,,,,
G06003702946102,,0.34,,,,,,,,,,,,,,,,0.42,,0.55,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,,,,,,0.25,,,,0.39,,,0.09,,,,0.25,,,,,,,,
G06003702946201,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,0.3,0.33,0.38,,,0.55,,,0.36,0.07,0.31,
G06003702946202,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.0,0.03,0.08,,,0.25,,,0.21,0.28,0.15,
G06003702946203,,,,,,,,,,0.6,,,,,,0.54,,,0.48,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,0.54,0.52,0.57,,,0.56,,,,,0.64,
G06003702947011,,,,,,,,,,0.33,,,,,,,,,0.32,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,0.58,0.61,0.66,,,,,,0.64,0.49,0.59,
G06003702947012,,,,,,,,,,,,,,,,,,,0.78,,0.48,,0.45,0.51,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.34,,,0.57,0.61,,,0.57,,,,,,,,,,,,,,
G06003702947013,,,,,,,,,,,,,,,,,,,,0.34,0.12,,0.28,0.34,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.09,,,0.2,0.25,,0.43,,,,,,,,,,,,,,,
G06003702948101,,,,,,,,0.46,,,,,,,,,,,,,,0.14,,,,,,,,,,0.38,,,,,,0.22,0.22,0.35,0.38,0.29,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
G06003702948102,0.43,,,,,,,,0.43,,,,,,,,,,,,,0.18,,,0.32,0.48,0.53,,,,,,,,,,,0.38,0.38,0.4,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702948201,,,,,,,,,,,,,,,,,,0.29,,0.16,,,,,,,,,,,,0.24,,,,,,,,,0.24,0.15,,,,,,,,,,,,,,,,,,,,,0.29,,0.29,0.25,,0.32,,,,,,,,,,,,,,,0.14
G06003702948202,0.18,,,,,,,,,,,,,,,,,,,0.31,0.36,,0.22,0.36,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.33,,,0.37,0.16,,,,,,,,,,,,,,,,,
G06003702948301,0.5,,,,,,,,0.45,,,,,,,,,,,,,0.46,,0.58,0.23,0.2,0.35,0.52,,,,,0.18,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702948302,0.35,,,,,,,,,,,,,,,,,,,,,,0.35,0.28,0.46,0.3,,,,,,,0.5,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,,,,,,,0.22,,,,,,,,,,,,,,
G06003702949001,,,,,,,,,0.21,,,,,,,,,,,,,0.67,,,0.55,0.67,0.12,0.1,,,,,0.56,,,0.16,0.53,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003702949002,,,,,,,,,0.1,,,,,,,,,,,,,0.36,,,0.59,0.75,0.2,0.37,,,,,0.73,,,0.33,0.39,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06003709800141,,,,,,,,,,1.03,,,,,,,,,1.11,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,1.28,1.31,1.36,,,,,,1.34,1.15,1.29,
G06003709800151,,,,,,,,,0.65,,,,,,,,0.84,,,,,0.91,,,1.14,,0.75,0.79,,,,,1.25,,,0.85,0.6,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
