,162802482,164018047,164018058,164018136,164026487,164027142,264543438,291543914,291543915,341082083,341082086,414460874,434806454,434806458,434806459,470135456,470135487,776127076,776316285
G06004300001011,,,,,,,11.04,,,,54.58,32.59,11.2,11.23,11.54,25.2,23.99,11.35,13.3
G06004300001012,,,,,,,1.78,,,,48.72,31.16,1.94,1.97,2.28,26.78,25.57,2.09,4.04
G06004300001013,,,,,,,5.5,,,,50.64,29.14,6.18,5.16,4.85,33.9,32.68,6.33,7.31
G06004300001014,,,,,,,14.69,,,,61.63,22.61,13.85,14.94,15.25,42.57,41.36,13.69,13.97
G06004300001021,,,,,,,7.56,,,,49.64,33.43,8.25,7.22,6.91,35.97,34.75,8.4,10.34
G06004300001022,,,,,,,19.34,,,,60.98,41.69,20.01,19.0,18.69,47.75,46.54,19.86,20.14
G06004300002001,,,,,,,31.14,,,,78.09,20.55,30.3,31.4,31.7,57.3,56.09,30.15,30.43
G06004300002002,,,,,,,25.88,,,,71.54,7.45,25.04,26.14,26.44,39.77,38.55,24.89,25.17
G06004300002003,,,,,,,26.74,,,,59.22,9.21,26.9,26.93,27.24,31.29,30.08,27.05,29.0
G06004300003011,,,,,,,9.51,,,44.58,44.53,,10.2,9.17,8.86,33.61,32.4,10.36,12.3
G06004300003012,,,,,,,11.62,,,42.83,42.78,,12.31,11.28,10.97,36.13,34.92,12.47,14.41
G06004300003013,,,,,,,7.19,,,44.84,44.79,,7.35,7.39,7.33,26.8,25.59,7.51,9.45
G06004300003021,,,,,,,15.2,,,47.8,47.75,,15.36,15.4,15.71,34.82,33.6,15.52,17.46
G06004300003022,,,,,,,16.87,,,34.25,34.21,,17.56,16.53,16.22,39.15,37.94,17.71,19.66
G06004300003023,,,,,,,13.11,,,38.41,38.36,,13.28,12.77,12.46,32.73,31.52,13.44,15.38
G06004300004001,1.07,0.2,0.42,0.23,0.56,1.9,,0.86,1.16,28.98,,,,,,14.89,,,
G06004300004002,18.49,19.34,19.52,19.36,19.3,19.32,,19.49,19.8,18.33,18.28,,,,,,,,
