,100772151,209941219,226756136,233597102,233599102,288849950,295178666,295324170,353362718,374863837,374864624,374888107,382847457,384258646,384942109,384942362,395484920,395484920,395484921,396084755,407838592,409186948,409186959,44487079,454607098,470792709,540394724,540394725,540394726,540394727,540394728,540394729,540394730,557792226,557792271,557792313,595240534,6321155,672643290,672819688,687695028,7733144,776314785,844938995,845940576,849414603,849416727,854411966,874961578,894490826,899088422,901532567,9098811,920702707,921138593,924590660,925790606
G06002300001001,,,,,,,,,,2.63,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,0.44,,,,,0.5,0.83,1.78,1.37,,,,1.28,1.75,,,
G06002300001002,,,,,,,,,,2.24,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.84,,,,,0.46,0.45,1.39,0.88,,,,0.9,1.36,,,
G06002300001003,,,,,,,,,,1.89,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,1.19,,,,,0.8,0.35,1.05,0.61,,,,0.55,1.02,,,
G06002300001004,,,,,,,,,,2.37,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,1.13,,,,,0.75,0.58,1.52,0.77,,,,1.03,1.49,,,
G06002300002001,,,,,,,,,,1.69,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,1.49,,,,,1.11,0.65,0.84,0.34,,,,0.35,0.82,,,
G06002300002002,,,,,,,,,,1.35,,,1.29,,,1.56,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,1.46,1.01,0.49,0.32,,,,0.7,0.46,,,
G06002300002003,,,,,,,,,,1.77,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,2.0,,,,,1.61,1.28,0.92,0.33,,,,1.02,0.89,,,
G06002300002004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002300002005,,,,,,,,,,2.35,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,1.73,,,,,1.35,1.16,1.5,0.68,,,,1.0,1.47,,,
G06002300002006,,,,,,,,,,2.08,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,1.63,,,,,1.24,0.99,1.23,0.42,,,,0.74,1.2,,,
G06002300003001,,,,,,,,,,,,,2.59,,,2.34,,,,,,,,,,,,,,,,,,,,,1.99,,,,2.65,,,,,2.26,2.07,1.7,1.32,,,,1.92,1.67,,,
G06002300003002,,,,,,,,,,,,,2.57,,,2.27,,,,,,,,,,,,,,,,,,,,,2.13,,,,2.78,,,,,2.4,2.21,1.63,1.29,,,,1.97,1.6,,,
