,183352545,488358441,556246764,560422326,703053126,703053127,776746726,96026784,HD5
G06003100009004,38.98,4.97,20.15,9.74,3.1,3.38,1.1,,12.08
G06003100009005,38.12,4.11,19.3,8.88,3.49,3.22,1.9,,11.22
G06003100009006,37.93,3.92,19.25,8.68,3.13,2.95,2.15,,11.02
G06003100009007,37.64,3.63,18.97,8.39,2.93,2.65,2.53,,10.73
G06003100010011,37.71,3.7,19.7,8.46,2.28,2.57,2.73,,10.8
G06003100010012,36.75,2.72,20.46,7.5,1.56,1.33,3.7,,9.84
G06003100010021,36.92,2.91,19.38,7.67,2.21,1.94,3.24,,10.01
G06003100010022,36.98,3.18,18.48,7.73,3.66,3.39,3.69,,10.07
G06003100010023,35.79,1.78,20.77,6.54,2.44,2.17,6.22,,8.88
G06003100010031,36.62,2.82,18.06,7.37,3.3,3.03,4.23,,9.71
G06003100010032,36.32,2.52,18.6,7.07,3.2,2.92,5.15,,9.41
G06003100011001,39.72,5.71,17.15,10.47,5.69,5.41,4.0,,12.81
G06003100011002,37.74,3.73,18.67,8.49,3.71,3.43,2.77,,10.83
G06003100011003,37.36,3.56,17.69,8.11,4.0,3.72,3.76,,10.45
G06003100011004,37.81,4.02,17.96,8.57,4.43,4.15,3.45,,10.91
G06003100012001,36.45,11.65,9.2,15.08,12.13,11.86,11.7,,16.95
G06003100012002,41.91,11.11,13.76,14.55,11.59,11.32,9.97,,16.56
G06003100013001,43.07,21.28,0.67,24.66,21.76,21.48,,33.65,26.52
G06003100013002,44.52,21.81,2.95,25.23,22.29,22.01,,35.1,27.14
G06003100014011,44.8,22.38,2.75,25.81,22.86,22.59,,35.38,27.71
G06003100014021,44.25,21.84,2.03,25.26,22.32,22.04,,34.83,27.17
G06003100014022,43.6,21.19,1.73,24.61,21.67,21.39,,34.18,26.52
G06003100015001,43.07,21.27,0.58,24.66,21.75,21.48,,33.64,26.52
G06003100015002,43.59,21.79,0.94,25.18,22.27,22.0,,34.16,27.04
G06003100015003,43.9,21.59,1.28,25.01,22.07,21.79,,34.48,26.92
G06003100015004,44.51,22.09,2.05,25.52,22.58,22.3,,35.09,27.42
G06003100016011,43.05,33.9,20.26,37.26,35.43,35.15,,30.2,39.1
G06003100016012,30.48,13.24,12.17,12.16,15.62,15.34,,21.06,14.0
G06003100016013,24.52,12.91,18.65,8.95,15.29,15.01,18.61,,8.73
G06003100016021,45.88,23.92,4.46,27.34,24.4,24.12,,34.36,29.25
G06003100017011,3.57,31.52,39.77,27.66,33.9,33.62,,14.77,27.48
G06003100017012,0.72,33.64,41.89,29.79,36.02,35.74,,14.75,29.6
G06003100017013,0.81,34.35,42.6,30.49,36.73,36.45,,14.79,30.31
G06003100017014,1.42,34.28,42.53,30.43,36.66,36.38,,14.66,30.24
G06003100017015,9.68,38.62,43.28,34.67,41.0,40.72,,10.98,34.44
G06003109818001,4.92,37.93,45.48,34.07,40.31,40.03,,12.52,33.89
