,187239323,187239326,187239327,203307582,208184080,273318342,273377895,273388978,299946010,325095940,463388115,463716160,463716280,466184531,466311886,466311889,466311891,466311893,466823960,467317778,467317976,467319661,468788592,484966809,546693447,551926513,556587287,627211051,719044251,768404386,825326562,911560443,949265893
G06005502006021,,,,,,,,1.47,,,1.58,1.61,2.12,,,,,,,1.89,2.17,,0.86,0.76,,,1.76,2.05,,,,,
G06005502006022,,,,,,,,2.46,,,2.44,1.3,3.0,,,,,,,2.88,,,0.77,1.96,4.45,,2.62,1.48,,,,,
G06005502006023,,,,,,,,2.07,,,2.05,1.46,2.62,,,,,,,2.49,2.78,,0.36,1.57,,,2.23,1.88,,,,,
G06005502007031,,,,,,,,,,1.4,1.96,2.78,1.76,,2.03,2.09,2.94,,,,,,,,1.8,,2.08,2.79,,,,,
G06005502007032,,,,,,,,2.86,,1.59,1.69,,1.12,,1.12,1.17,2.3,2.3,,,,,,,0.88,,1.53,,,,,,
G06005502007041,,,,,,,,1.93,,,0.46,1.46,0.48,,2.43,2.48,1.66,,,,,,,,2.19,,0.3,1.47,,,,,
G06005502007042,,,,,,,,1.78,,,0.28,1.49,0.44,,2.38,2.41,1.37,1.37,,,,,,,2.15,,0.38,,,,,,
G06005502007043,,,,,,,,1.41,,,0.34,1.16,0.77,,2.49,,,1.57,,,,,1.87,1.26,2.47,,0.53,,,,,,
G06005502007051,,,,,,,,1.32,,,0.89,,0.57,,1.88,1.8,0.96,0.96,,1.49,,,,,2.15,,0.97,,,,,,
G06005502007052,,,,,,,,2.05,,,2.6,,2.03,1.71,0.09,0.32,2.1,2.1,,,,,,,0.54,,2.44,,,,,,
G06005502007061,,,,,,,,2.43,,3.41,1.26,0.06,1.83,,,,,,,,,,1.37,2.27,3.33,,1.44,0.4,,,,,
G06005502007062,,,,,,,,2.66,,2.98,1.18,0.58,1.72,,,,,,,,,,1.91,2.5,2.91,,1.36,0.49,,,,,
G06005502007063,,,,,,,,3.12,,3.18,1.64,1.02,2.09,,,,,,,,,,2.35,2.97,3.1,,1.83,0.93,,,,,
G06005502007071,,,,,,,,1.84,,,0.75,0.75,1.32,,3.04,,,,,,,,1.45,1.69,3.03,,0.94,1.12,,,,,
G06005502007072,,,,,,,,2.22,,2.69,0.75,0.97,1.29,,2.85,,,,,,,,1.75,,2.61,,0.93,0.98,,,,,
G06005502008021,,,,,,,,,1.69,,,,,0.19,1.63,1.55,2.43,2.43,1.06,,,1.75,,,1.75,,,,,,,1.62,
G06005502008022,,,,,,,,,2.94,,,,,1.5,2.75,2.68,3.62,3.62,2.35,,,3.04,,,2.83,,,,,,,2.91,
G06005502008023,,,,3.37,,3.9,,,3.42,,,,,2.54,,3.61,4.11,4.11,2.83,,,3.51,,,,,,,,,,3.38,
G06005502008031,,,,,,,,,,1.54,1.94,,1.37,2.07,0.81,0.87,2.54,2.54,,,,,,,0.58,,1.77,,,,,,
G06005502008032,,,,,,,,,,0.87,2.66,,2.3,3.39,2.23,2.28,3.48,3.48,,,,,,,2.0,,2.71,,,,,,
G06005502008041,,,,,,,,2.09,,,,,2.21,1.26,0.47,0.39,2.13,2.13,1.85,2.06,,,,,0.72,,,,,,,,
G06005502008042,,,,,,,,2.08,,,,,2.2,1.24,0.46,0.38,2.13,2.13,1.83,,,1.72,,,0.71,,,,,,,,
G06005502008043,,,,,,,,,,,,,2.63,0.75,1.02,0.94,2.37,2.37,1.6,,,1.96,,,1.14,,,,,,,1.83,
G06005502008044,,,,,,,,,2.0,,,,,0.47,1.15,1.09,2.56,2.56,1.37,,,2.06,,,1.24,,,,,,,1.93,
G06005502009001,,,,0.58,,1.62,2.67,,2.36,,,,,2.89,,,,,2.51,3.02,2.75,2.67,,,,,,,,,,2.58,
G06005502010031,,,,5.55,5.73,6.4,7.44,,7.13,,,,,7.66,,,,,7.29,,7.52,7.45,,,,,,,,,,7.36,
G06005502010032,,,,7.13,1.65,7.98,9.02,,8.71,,,,,9.24,,,,,8.87,,9.1,9.03,,,,,,,,,,8.94,
G06005502010041,,,,8.71,1.03,9.56,10.6,,10.29,,,,,10.83,,,,,10.45,,10.68,10.61,,,,,,,,,,10.52,
G06005502010042,,,,9.25,1.29,10.1,11.15,,10.83,,,,,11.37,,,,,10.99,,11.23,11.15,,,,,,,,,,11.06,
G06005502010051,,,,9.61,5.1,10.46,11.5,,11.19,,,,,11.72,,12.8,,,11.35,,,11.51,,,,,,,,,,11.42,
G06005502010052,,,,8.11,2.25,8.97,10.01,,9.7,,,,,10.23,,,,,9.86,,10.09,10.01,,,,,,,,,,9.93,
G06005502010061,,,,7.73,1.65,8.58,9.63,,9.31,,,,,9.85,,,,,9.47,,9.71,9.63,,,,,,,,,,9.54,
G06005502010062,,,,8.19,1.33,9.04,10.08,,9.77,,,,,10.31,,,,,9.93,,10.16,10.09,,,,,,,,,,10.0,
G06005502010071,,,,8.59,1.32,9.45,10.49,,10.18,,,,,10.71,,,,,10.34,,10.57,10.49,,,,,,,,,,10.41,
G06005502010072,,,,8.82,1.43,9.67,10.72,,10.41,,,,,10.94,,,,,10.57,,10.8,10.72,,,,,,,,,,10.63,
G06005502011011,,,,,,,,,,1.14,2.47,3.29,2.22,,2.15,2.2,3.39,,,,,,,,1.91,,2.6,3.3,,,,,
G06005502011012,,,,,,,,,,1.37,2.29,3.11,2.17,,2.38,2.44,3.35,,,,,,,,2.15,,2.41,3.12,,,,,
G06005502011021,,,,,,,,,,5.42,6.7,7.52,6.5,,6.43,6.48,,,,,,,8.3,,6.2,,6.82,7.53,,,,,
G06005502011022,,,,8.97,13.96,,,,,8.91,,,,7.72,8.97,8.9,9.72,9.72,8.43,,,,,,9.05,,,,,,,,
G06005502012001,,6.16,5.68,,,,,,,15.06,12.91,11.71,,,,,,,,,,,12.4,,,,13.1,11.88,,5.57,,,4.09
G06005502012002,,,,,,,,,,9.12,6.97,5.77,7.54,,,,,,,,,,6.5,7.57,9.05,,7.16,5.94,,,,,6.01
G06005502012003,,,,,,,,3.47,,3.39,1.99,1.35,2.3,,,,,,,,,,2.49,3.32,3.32,,2.12,0.89,,,,,
G06005502012004,,,,,,,,2.97,,4.95,2.8,1.59,3.36,,,,,,,,,,1.29,2.47,4.87,,2.98,1.77,,,,,
G06005502013001,,,,,,,,7.8,,9.25,7.1,5.89,7.66,,,,,,,,,,6.58,7.65,,,7.28,6.07,,,,,3.83
G06005502013002,,,,,,,,7.43,,8.88,6.73,5.52,7.29,,,,,,,,,,6.21,7.28,,,6.91,5.7,,,,,4.43
G06005502013003,,,,,,,,7.95,,9.35,7.2,6.0,7.77,,,,,,,,,,6.73,7.8,,,7.38,6.17,,,,,5.39
G06005502014011,,,,,,,,10.31,,,10.64,10.89,11.18,,,,,,,10.22,,,10.5,9.16,,,10.82,11.07,,,,,17.05
G06005502014012,,,,,,,12.29,11.78,,,12.11,12.82,,,,,,,,11.69,11.8,12.1,12.12,10.63,,,,13.17,,,,,
G06005502014013,,,,,,,,3.98,,,4.31,5.03,,,,,,,,3.9,4.01,4.34,4.32,2.84,,,4.5,5.38,,,,,
G06005502014021,,,,,,,3.79,3.28,3.52,,3.61,,,,,,,,,3.2,3.3,3.6,3.62,2.13,,,,,,,,3.51,
G06005502014022,,,,4.26,,3.32,2.11,,3.42,,,,,,,,,,4.05,4.08,3.81,3.74,,4.73,,,,,,,,3.65,
G06005502014023,,,,5.36,,5.03,3.81,4.48,4.22,,,,,,,,,,,3.9,4.0,4.3,,3.58,,,,,,,,4.21,
G06005502014031,,,,19.48,,19.37,18.62,,18.34,,,,,,,,,,,18.02,18.13,18.42,18.44,16.96,,,,,,,,18.34,
G06005502014032,,,24.15,,,,,12.61,,,12.94,13.2,,,,,,,,,,,12.8,11.47,,,13.13,13.37,,24.04,,,19.36
G06005502015001,11.88,3.57,3.29,,,,,,,,,17.45,,,,,,,,,,,,,,11.88,,17.63,11.81,3.18,12.2,,9.83
G06005502015002,,8.54,8.07,,,,,,,,11.83,10.63,,,,,,,,,,,11.32,12.39,,,12.01,10.8,,7.95,,,3.0
G06005502016011,9.98,1.93,1.46,,,,,,,,,14.06,,,,,,,,,,,,,,9.98,,14.24,9.92,1.35,10.31,,6.44
G06005502016012,9.9,1.84,1.37,,,,,,,,,15.44,,,,,,,,,,,,,,9.9,,15.61,9.83,1.26,10.22,,7.81
G06005502016021,9.0,0.67,0.88,,,,,,,,,15.83,,,,,,,,,,,,,,9.0,,16.0,8.93,0.99,9.32,,8.2
G06005502016022,8.16,1.52,1.65,,,,,,,,,16.47,,,,,,,,,,,,,,8.16,,16.64,8.09,1.76,8.49,,8.84
G06005502016023,8.62,0.49,0.13,,,,,,,,,15.08,,,,,,,,,,,,,,8.62,,15.25,8.56,0.24,8.95,,7.45
G06005502016024,9.09,1.04,0.74,,,,,,,,,15.53,,,,,,,,,,,,,,9.09,,15.71,9.03,0.85,9.42,,7.91
G06005502017001,11.1,3.35,2.88,,,,,,,,,16.95,,,,,,,,,,,,,,11.1,,17.12,11.03,2.77,11.43,,9.32
G06005502017002,13.06,7.95,8.07,,,,,,,,,22.89,,,,,,,,,,,,,,13.06,,23.06,12.99,8.18,13.38,,15.27
G06005502017003,11.73,6.62,6.74,,,,,,,,,21.56,,,,,,,,,,,,,,11.73,,21.73,11.66,6.85,12.05,,13.94
G06005502017004,15.76,10.65,10.78,,,,,,,,,25.6,,,,,,,,,,,,,,15.76,,25.77,15.7,10.89,16.09,,17.97
G06005502017005,6.78,3.77,3.89,,,,,,,,,18.71,,,,,,,,,,,,,,6.78,,18.89,6.71,4.0,7.11,,11.09
G06005502017006,9.06,3.47,3.59,,,,,,,,,18.41,,,,,,,,,,,,,,9.06,,18.59,8.99,3.7,9.38,,10.79
G06005502018001,28.25,23.14,23.27,,,,,,,,,,,,,,,,,,,,38.77,,,28.25,,38.26,28.19,23.38,28.58,,30.46
G06005502018002,,,,,,,,17.12,,,17.45,18.17,,,,,,,,17.04,17.15,,17.46,15.98,,,17.64,18.52,,,,,19.77
G06005502019001,24.88,19.77,19.89,,,,,,,,,34.71,,,,,,,,,,,,,,24.88,,34.89,24.81,20.0,25.21,,27.09
G06005502019002,1.2,8.64,8.76,,,,,,,,,23.58,,,,,,,,,,,,,,1.2,,23.75,1.14,8.87,1.53,,15.96
G06005502020001,1.01,9.0,9.13,,,,,,,,,23.95,,,,,,,,,,,,,,1.01,,24.12,1.01,9.24,0.81,,16.32
G06005502020002,0.92,9.32,9.45,,,,,,,,,24.27,,,,,,,,,,,,,,0.92,,24.44,0.96,9.56,0.53,,16.64
G06005502020003,0.27,8.75,8.88,,,,,,,,,23.7,,,,,,,,,,,,,,0.27,,23.87,0.32,8.99,0.21,,16.07
G06005502020004,0.81,8.72,8.84,,,,,,,,,23.66,,,,,,,,,,,,,,0.81,,23.84,0.74,8.95,1.19,,16.04
