,site_id,site_yn
0,204345954,1
1,292031477,1
2,31553746,1
3,31555561,1
4,31556371,1
5,31556463,1
6,31556529,1
7,31556616,1
8,31556696,1
9,31557528,1
10,31577889,1
11,31579349,1
12,6989477,1
13,941658784,1
14,941658785,1
15,969939118,1
16,969948921,1
17,969948925,1
18,675888211,1
19,963322476,1
20,263003895,1
21,270279264,1
22,271403973,1
23,31528158,1
24,31540640,1
25,31551423,1
26,31820764,1
27,31796415,1
28,31797869,1
29,966639189,1
30,966639190,1
31,31795090,1
32,31795879,1
33,321775870,1
34,552580195,1
35,666402942,1
36,31856156,1
37,915941401,1
38,679932345,1
39,779799288,1
40,172600443,1
41,31298330,1
42,31516213,1
43,31516227,1
44,31530054,1
45,31530517,1
46,31540470,1
47,31583869,1
48,31583931,1
49,31583964,1
50,31298928,1
51,31357750,1
52,420207183,1
53,31363855,1
54,31364163,1
55,31368512,1
56,326482018,1
57,31364237,1
58,31364282,1
59,342781637,1
60,459852718,1
61,460130237,1
62,460261844,1
63,460468494,1
64,460678854,1
65,460682833,1
66,460682836,1
67,460117410,1
68,460117411,1
69,460117412,1
70,460117413,1
71,460117414,1
72,460117415,1
73,460682860,1
74,31299703,1
75,31299758,1
76,31299805,1
77,313765399,1
78,459740162,1
79,459843920,1
80,460261835,1
81,460261837,1
82,460261839,1
83,460261840,1
84,31293084,1
85,31273452,1
86,451675376,1
87,31273323,1
88,595180496,1
89,106479449,1
90,222136476,1
91,31532228,1
92,31532270,1
93,459513357,1
94,464456654,1
95,464812311,1
96,465115229,1
97,471663925,1
98,509324169,1
99,509324171,1
100,509324172,1
101,509324173,1
102,509324174,1
103,509324175,1
104,509341653,1
105,509345809,1
106,509345811,1
107,509345812,1
108,509345827,1
109,509345828,1
110,509346916,1
111,509461869,1
112,509461879,1
113,509998382,1
114,515730433,1
115,516278271,1
116,516278272,1
117,516278273,1
118,517843365,1
119,518141026,1
120,576917927,1
121,607827495,1
122,611902028,1
123,655452048,1
124,7410760,1
125,464823463,1
126,509486916,1
127,509486921,1
128,509486922,1
129,509486923,1
130,509704699,1
131,516501875,1
132,516501878,1
133,663362333,1
134,31279168,1
135,509705936,1
136,509705937,1
137,516737153,1
138,517834874,1
139,517834876,1
140,647095474,1
141,516933915,1
142,31239840,1
143,31261021,1
144,517797163,1
145,517797167,1
146,517797169,1
147,255496981,1
148,31294014,1
149,31330220,1
150,313739302,1
151,362436440,1
152,510582417,1
153,517797172,1
154,5393213,1
155,551855982,1
156,31265835,1
157,31330425,1
158,31330524,1
159,31460541,1
160,465794786,1
161,467085857,1
162,542094164,1
163,542094165,1
164,542167400,1
165,542324126,1
166,646125111,1
167,654772948,1
168,696027752,1
169,31278806,1
170,31278852,1
171,31293900,1
172,31293907,1
173,31312851,1
174,545321176,1
175,31425944,1
176,429049870,1
177,31460019,1
178,473490617,1
179,473490618,1
180,494592358,1
181,494592360,1
182,31260723,1
183,31292422,1
184,552311888,1
185,552311889,1
186,354997321,1
187,355018421,1
188,362161604,1
189,212256102,1
190,31293562,1
191,31328970,1
192,31329215,1
193,31329351,1
194,31330038,1
195,271963073,1
196,318665953,1
197,112113127,1
198,112113630,1
199,268810770,1
200,268810822,1
201,31257671,1
202,31260806,1
203,31292554,1
204,253279070,1
205,269748796,1
206,269748797,1
207,270022105,1
208,270022107,1
209,273202307,1
210,31293553,1
211,31327648,1
212,31328566,1
213,270275471,1
214,271674311,1
215,271674312,1
216,271674313,1
217,271674314,1
218,271675611,1
219,273202567,1
220,31282448,1
221,31328840,1
222,697876347,1
223,697940146,1
224,129601815,1
225,131837314,1
226,420198791,1
227,485243863,1
228,485243864,1
229,485243865,1
230,485243866,1
231,485243871,1
232,485243872,1
233,485243873,1
234,485243874,1
235,697839532,1
236,697839533,1
237,697839534,1
238,702969940,1
239,702969941,1
240,702969949,1
241,154927645,1
242,154927658,1
243,31282351,1
244,31284487,1
245,31317628,1
246,31320691,1
247,31328396,1
248,31282285,1
249,652134593,1
250,280421422,1
251,280421424,1
252,280421426,1
253,479613093,1
254,31564919,1
255,552332664,1
256,280421421,1
257,280421425,1
258,31292670,1
259,31329806,1
260,31273566,1
261,31291642,1
262,31293210,1
263,31279251,1
264,31455206,1
265,31303825,1
266,272486408,1
267,189370220,1
268,31327976,1
269,31476725,1
270,31477308,1
271,31484942,1
272,508537765,1
273,559359899,1
274,559359900,1
275,559359901,1
276,697857908,1
277,920553757,1
278,232097407,1
279,31478027,1
280,428154935,1
281,779434823,1
282,825494948,1
283,825494953,1
284,825494954,1
285,825494955,1
286,31426940,1
287,31426961,1
288,326482971,1
289,326482972,1
290,508515439,1
291,444158583,1
292,31428762,1
293,7397566,1
294,12105207,1
295,1738228,1
296,1738229,1
297,230180239,1
298,230527917,1
299,233075216,1
300,233473159,1
301,233693944,1
302,233693948,1
303,31770026,1
304,31773115,1
305,31803997,1
306,31804372,1
307,31804447,1
308,438203854,1
309,624112760,1
310,624245603,1
311,624257345,1
312,666469920,1
313,824631899,1
314,825191770,1
315,556753440,1
316,827520035,1
317,233061218,1
318,438204950,1
319,128801248,1
320,233473160,1
321,31769460,1
322,230398976,1
323,230525118,1
324,230525884,1
325,230783642,1
326,438205402,1
327,624925749,1
328,688084065,1
329,230067115,1
330,231409734,1
331,231410289,1
332,510044766,1
333,722838144,1
334,783148496,1
335,783148497,1
336,810376339,1
337,822072530,1
338,822072544,1
339,828191266,1
340,469234680,1
341,469366727,1
342,557859786,1
343,500483690,1
344,233153341,1
345,822399047,1
346,36172541,1
347,263313197,1
348,31486920,1
349,31544927,1
350,560029784,1
351,892427520,1
352,892427522,1
353,31544273,1
354,31544130,1
355,31544365,1
356,31645777,1
357,272693286,1
358,31544401,1
359,31544604,1
360,673519917,1
361,27232917,1
362,27293409,1
363,28969541,1
364,291410727,1
365,55066138,1
366,22916692,1
367,23810205,1
368,27209305,1
369,27226181,1
370,27293487,1
371,286003491,1
372,475331878,1
373,52199696,1
374,52380678,1
375,52380707,1
376,52391545,1
377,52391566,1
378,6068529,1
379,22775119,1
380,24513728,1
381,27203914,1
382,37127439,1
383,620184215,1
384,662541461,1
385,11779295,1
386,12563891,1
387,195245479,1
388,209399838,1
389,215827733,1
390,220839211,1
391,220839215,1
392,220840122,1
393,220840123,1
394,220840125,1
395,227756285,1
396,22958127,1
397,22961553,1
398,22961558,1
399,233937591,1
400,233937592,1
401,24221444,1
402,265367795,1
403,304755227,1
404,305960940,1
405,305960943,1
406,308163454,1
407,308184300,1
408,308184302,1
409,308194193,1
410,308527502,1
411,30909403,1
412,30910551,1
413,30910552,1
414,312023664,1
415,315405573,1
416,318127797,1
417,403574704,1
418,4083050,1
419,4115471,1
420,430285893,1
421,431330555,1
422,43160734,1
423,470796041,1
424,60117887,1
425,69020906,1
426,826209199,1
427,205384770,1
428,263307599,1
429,41783060,1
430,464854717,1
431,488727584,1
432,595971788,1
433,6644272,1
434,727952282,1
435,728250523,1
436,9219199,1
437,205328816,1
438,31423836,1
439,473550865,1
440,473550872,1
441,909193794,1
442,943344307,1
443,943603621,1
444,30358759,1
445,24030940,1
446,943344295,1
447,232019756,1
448,834309464,1
449,834763586,1
450,166436530,1
451,480411836,1
452,166435596,1
453,294779081,1
454,481799727,1
455,221319847,1
456,237881575,1
457,444795487,1
458,479032693,1
459,481599042,1
460,481792976,1
461,481794537,1
462,10666533,1
463,194871780,1
464,194871781,1
465,223125608,1
466,227311487,1
467,229220208,1
468,24208638,1
469,250909848,1
470,294857289,1
471,304485786,1
472,310530911,1
473,32935535,1
474,32935760,1
475,44040160,1
476,444806139,1
477,444806750,1
478,477480658,1
479,481599050,1
480,484701172,1
481,484998348,1
482,611879586,1
483,98851114,1
484,44040166,1
485,478543195,1
486,222473836,1
487,223289015,1
488,223289016,1
489,35560444,1
490,37623738,1
491,444783776,1
492,464044699,1
493,479032686,1
494,480364415,1
495,480382407,1
496,481038146,1
497,481038440,1
498,482067952,1
499,482068034,1
500,195870835,1
501,305323076,1
502,35451682,1
503,24638974,1
504,185034120,1
505,195248360,1
506,195254080,1
507,195257367,1
508,203193334,1
509,203316809,1
510,203316816,1
511,226852756,1
512,226855353,1
513,230197323,1
514,231662080,1
515,24638973,1
516,28922004,1
517,30910549,1
518,30910550,1
519,31722830,1
520,35602477,1
521,36811248,1
522,37326169,1
523,400536209,1
524,484542797,1
525,54582535,1
526,7923533,1
527,8812309,1
528,195247925,1
529,24225610,1
530,312889732,1
531,260876196,1
532,312889730,1
533,363532969,1
534,62354237,1
535,677593569,1
536,677593572,1
537,363532968,1
538,43292207,1
539,203290644,1
540,203290645,1
541,27762630,1
542,41871652,1
543,43001974,1
544,43002046,1
545,43292195,1
546,467707976,1
547,678597112,1
548,825084384,1
549,825084471,1
550,28006024,1
551,28113846,1
552,42991416,1
553,42989617,1
554,42989621,1
555,823961879,1
556,824734791,1
557,9387379,1
