model_id,con_max_hubs,con_cap_factor,con_pct_tot,con_min_ces_score,con_min_prop_ej,res_dist_traveled,res_pop_served,res_agg_ces_score,res_avg_dist
2022-03-23_2022,50,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2022,55,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2023,60,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2023,65,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2024,70,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2024,75,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2025,80,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2025,85,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2026,90,1,0.7,0.75,0.5,1020225.8024168358,791279.9999999999,0.38084539764820147,1.2893360155909868
2022-03-23_2026,95,1,0.7,0.75,0.5,931334.8685570038,791279.9999999998,0.3940572806214761,1.1769978623963755
2022-03-23_2027,5,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2028,10,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2028,15,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2029,20,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2029,25,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2030,30,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2030,35,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2031,40,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2031,45,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2032,50,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2032,55,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2033,60,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2033,65,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2034,70,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2035,75,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2035,80,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2036,85,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2036,90,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2037,95,1,0.8,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2040,5,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2040,10,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2041,15,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2041,20,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2042,25,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2042,30,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2043,35,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2044,40,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2044,45,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2045,50,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2045,55,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2046,60,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2046,65,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2047,70,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2048,75,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2048,80,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2049,85,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2049,90,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2050,95,1,0.9,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
