,0
106479449,-0.0
10666533,-0.0
112113127,0.0
112113630,0.0
11779295,-0.0
12105207,-0.0
12563891,-0.0
128801248,-0.0
129601815,-0.0
131837314,0.0
154927645,0.0
154927658,0.0
166435596,1.0
166436530,-0.0
172600443,-0.0
1738228,1.0
1738229,-0.0
185034120,0.0
189370220,0.0
194871780,-0.0
194871781,0.0
195245479,-0.0
195247925,-0.0
195248360,-0.0
195254080,-0.0
195257367,0.0
195870835,0.0
203193334,0.0
203290644,0.0
203290645,0.0
203316809,0.0
203316816,-0.0
204345954,-0.0
205328816,-0.0
205384770,-0.0
209399838,0.0
212256102,-0.0
215827733,-0.0
220839211,-0.0
220839215,0.0
220840122,0.0
220840123,0.0
220840125,-0.0
221319847,-0.0
222136476,-0.0
222473836,-0.0
223125608,-0.0
223289015,0.0
223289016,0.0
226852756,0.0
226855353,0.0
227311487,-0.0
22775119,-0.0
227756285,0.0
22916692,-0.0
229220208,0.0
22958127,-0.0
22961553,-0.0
22961558,-0.0
230067115,-0.0
230180239,-0.0
230197323,-0.0
230398976,-0.0
230525118,0.0
230525884,-0.0
230527917,-0.0
230783642,-0.0
231409734,-0.0
231410289,-0.0
231662080,0.0
232019756,-0.0
232097407,0.0
233061218,0.0
233075216,-0.0
233153341,-0.0
233473159,0.0
233473160,-0.0
233693944,0.0
233693948,-0.0
233937591,0.0
233937592,0.0
237881575,1.0
23810205,-0.0
24030940,-0.0
24208638,1.0
24221444,-0.0
24225610,-0.0
24513728,-0.0
24638973,0.0
24638974,-0.0
250909848,-0.0
253279070,-0.0
255496981,-0.0
260876196,-0.0
263003895,-0.0
263307599,1.0
263313197,-0.0
265367795,-0.0
268810770,0.0
268810822,0.0
269748796,0.0
269748797,0.0
270022105,0.0
270022107,0.0
270275471,0.0
270279264,-0.0
271403973,0.0
271674311,0.0
271674312,0.0
271674313,-0.0
271674314,-0.0
271675611,0.0
271963073,-0.0
27203914,-0.0
27209305,-0.0
27226181,-0.0
27232917,-0.0
272486408,-0.0
272693286,-0.0
27293409,-0.0
27293487,-0.0
273202307,0.0
273202567,0.0
27762630,1.0
28006024,0.0
280421421,-0.0
280421422,-0.0
280421424,-0.0
280421425,0.0
280421426,0.0
28113846,-0.0
286003491,-0.0
28922004,0.0
28969541,-0.0
291410727,-0.0
292031477,-0.0
294779081,-0.0
294857289,-0.0
30358759,-0.0
304485786,0.0
304755227,-0.0
305323076,-0.0
305960940,0.0
305960943,-0.0
308163454,0.0
308184300,-0.0
308184302,0.0
308194193,-0.0
308527502,-0.0
30909403,-0.0
30910549,0.0
30910550,-0.0
30910551,-0.0
30910552,0.0
310530911,-0.0
312023664,0.0
31239840,1.0
31257671,-0.0
31260723,0.0
31260806,1.0
31261021,-0.0
31265835,-0.0
31273323,1.0
31273452,-0.0
31273566,1.0
31278806,0.0
31278852,-0.0
31279168,-0.0
31279251,1.0
31282285,1.0
31282351,-0.0
31282448,0.0
31284487,0.0
312889730,0.0
312889732,-0.0
31291642,1.0
31292422,-0.0
31292554,-0.0
31292670,-0.0
31293084,-0.0
31293210,-0.0
31293553,-0.0
31293562,-0.0
31293900,-0.0
31293907,-0.0
31294014,1.0
31298330,-0.0
31298928,1.0
31299703,-0.0
31299758,-0.0
31299805,1.0
31303825,-0.0
31312851,1.0
31317628,1.0
31320691,1.0
31327648,-0.0
31327976,0.0
31328396,-0.0
31328566,-0.0
31328840,-0.0
31328970,-0.0
31329215,1.0
31329351,1.0
31329806,-0.0
31330038,-0.0
31330220,1.0
31330425,0.0
31330524,0.0
31357750,-0.0
31363855,-0.0
31364163,1.0
31364237,-0.0
31364282,-0.0
31368512,1.0
313739302,-0.0
313765399,-0.0
31423836,-0.0
31425944,-0.0
31426940,1.0
31426961,-0.0
31428762,-0.0
31455206,-0.0
31460019,-0.0
31460541,-0.0
31476725,-0.0
31477308,-0.0
31478027,1.0
31484942,1.0
31486920,-0.0
31516213,1.0
31516227,-0.0
31528158,1.0
31530054,-0.0
31530517,1.0
31532228,-0.0
31532270,-0.0
31540470,-0.0
315405573,-0.0
31540640,-0.0
31544130,1.0
31544273,1.0
31544365,-0.0
31544401,1.0
31544604,-0.0
31544927,-0.0
31551423,-0.0
31553746,-0.0
31555561,-0.0
31556371,-0.0
31556463,-0.0
31556529,1.0
31556616,-0.0
31556696,-0.0
31557528,0.0
31564919,-0.0
31577889,-0.0
31579349,-0.0
31583869,-0.0
31583931,0.0
31583964,-0.0
31645777,0.0
31722830,0.0
31769460,-0.0
31770026,-0.0
31773115,-0.0
31795090,1.0
31795879,-0.0
31796415,1.0
31797869,-0.0
31803997,-0.0
31804372,1.0
31804447,-0.0
318127797,-0.0
31820764,1.0
31856156,1.0
318665953,-0.0
321775870,-0.0
326482018,0.0
326482971,-0.0
326482972,0.0
32935535,-0.0
32935760,1.0
342781637,-0.0
35451682,-0.0
354997321,0.0
355018421,0.0
35560444,1.0
35602477,-0.0
36172541,-0.0
362161604,-0.0
362436440,0.0
363532968,-0.0
363532969,-0.0
36811248,-0.0
37127439,-0.0
37326169,0.0
37623738,-0.0
400536209,-0.0
403574704,-0.0
4083050,-0.0
4115471,-0.0
41783060,-0.0
41871652,0.0
420198791,0.0
420207183,-0.0
428154935,1.0
429049870,0.0
42989617,-0.0
42989621,-0.0
42991416,0.0
43001974,0.0
43002046,0.0
430285893,0.0
431330555,-0.0
43160734,-0.0
43292195,-0.0
43292207,0.0
438203854,0.0
438204950,-0.0
438205402,1.0
44040160,0.0
44040166,-0.0
444158583,-0.0
444783776,0.0
444795487,-0.0
444806139,-0.0
444806750,0.0
451675376,0.0
459513357,1.0
459740162,-0.0
459843920,-0.0
459852718,-0.0
460117410,-0.0
460117411,-0.0
460117412,-0.0
460117413,-0.0
460117414,-0.0
460117415,0.0
460130237,-0.0
460261835,0.0
460261837,0.0
460261839,-0.0
460261840,-0.0
460261844,-0.0
460468494,-0.0
460678854,0.0
460682833,0.0
460682836,-0.0
460682860,-0.0
464044699,-0.0
464456654,-0.0
464812311,-0.0
464823463,-0.0
464854717,-0.0
465115229,-0.0
465794786,-0.0
467085857,-0.0
467707976,0.0
469234680,-0.0
469366727,-0.0
470796041,0.0
471663925,0.0
473490617,-0.0
473490618,-0.0
473550865,-0.0
473550872,-0.0
475331878,-0.0
477480658,0.0
478543195,0.0
479032686,-0.0
479032693,0.0
479613093,-0.0
480364415,0.0
480382407,-0.0
480411836,-0.0
481038146,-0.0
481038440,-0.0
481599042,0.0
481599050,-0.0
481792976,0.0
481794537,-0.0
481799727,-0.0
482067952,0.0
482068034,-0.0
484542797,0.0
484701172,-0.0
484998348,-0.0
485243863,-0.0
485243864,-0.0
485243865,0.0
485243866,0.0
485243871,0.0
485243872,-0.0
485243873,0.0
485243874,0.0
488727584,-0.0
494592358,-0.0
494592360,-0.0
500483690,-0.0
508515439,0.0
508537765,-0.0
509324169,0.0
509324171,0.0
509324172,0.0
509324173,-0.0
509324174,-0.0
509324175,0.0
509341653,-0.0
509345809,-0.0
509345811,-0.0
509345812,-0.0
509345827,-0.0
509345828,-0.0
509346916,-0.0
509461869,-0.0
509461879,-0.0
509486916,0.0
509486921,-0.0
509486922,-0.0
509486923,-0.0
509704699,0.0
509705936,0.0
509705937,0.0
509998382,-0.0
510044766,-0.0
510582417,-0.0
515730433,0.0
516278271,0.0
516278272,-0.0
516278273,-0.0
516501875,0.0
516501878,-0.0
516737153,0.0
516933915,0.0
517797163,-0.0
517797167,-0.0
517797169,-0.0
517797172,-0.0
517834874,-0.0
517834876,0.0
517843365,0.0
518141026,-0.0
52199696,-0.0
52380678,-0.0
52380707,-0.0
52391545,-0.0
52391566,-0.0
5393213,-0.0
542094164,-0.0
542094165,-0.0
542167400,0.0
542324126,-0.0
545321176,0.0
54582535,1.0
55066138,0.0
551855982,0.0
552311888,0.0
