,GISJOIN,REGION,POP
2106,G06001900003002,Central Valley,1620
2107,G06001900003003,Central Valley,1154
2108,G06001900004001,Central Valley,2112
2109,G06001900004002,Central Valley,1233
2110,G06001900004003,Central Valley,1266
2111,G06001900004004,Central Valley,887
2112,G06001900005011,Central Valley,807
2113,G06001900005012,Central Valley,1725
2114,G06001900005021,Central Valley,986
2115,G06001900005022,Central Valley,1705
2116,G06001900005023,Central Valley,903
2117,G06001900006001,Central Valley,781
2118,G06001900006002,Central Valley,765
2119,G06001900006003,Central Valley,1913
2120,G06001900006004,Central Valley,1291
2121,G06001900007001,Central Valley,510
2122,G06001900007002,Central Valley,1787
2123,G06001900007003,Central Valley,1367
2124,G06001900008001,Central Valley,1292
2125,G06001900009011,Central Valley,2759
2126,G06001900009021,Central Valley,1704
2127,G06001900009022,Central Valley,1603
2128,G06001900009023,Central Valley,1884
2129,G06001900010001,Central Valley,2123
2130,G06001900010002,Central Valley,2132
2131,G06001900011001,Central Valley,1397
2132,G06001900011002,Central Valley,1383
2133,G06001900012011,Central Valley,829
2134,G06001900012012,Central Valley,2857
2135,G06001900012013,Central Valley,1815
2136,G06001900012014,Central Valley,434
2137,G06001900012021,Central Valley,1491
2138,G06001900012022,Central Valley,3070
2139,G06001900013011,Central Valley,1311
2140,G06001900013012,Central Valley,571
2141,G06001900013013,Central Valley,1062
2142,G06001900013014,Central Valley,1245
2143,G06001900013015,Central Valley,1153
2144,G06001900013031,Central Valley,1231
2145,G06001900013032,Central Valley,1189
2146,G06001900013041,Central Valley,987
2147,G06001900013042,Central Valley,2963
2148,G06001900013043,Central Valley,1433
2149,G06001900014071,Central Valley,2259
2150,G06001900014072,Central Valley,1052
2151,G06001900014073,Central Valley,1487
2152,G06001900014081,Central Valley,1878
2153,G06001900014082,Central Valley,799
2154,G06001900014091,Central Valley,2174
2155,G06001900014101,Central Valley,8747
2156,G06001900014102,Central Valley,3422
2157,G06001900014111,Central Valley,1289
2158,G06001900014112,Central Valley,1187
2159,G06001900014113,Central Valley,2678
2160,G06001900014114,Central Valley,1772
2161,G06001900014121,Central Valley,2979
2162,G06001900014131,Central Valley,6823
2163,G06001900014141,Central Valley,1097
2164,G06001900014142,Central Valley,885
2165,G06001900014143,Central Valley,6573
2166,G06001900015001,Central Valley,578
2167,G06001900015002,Central Valley,1829
2168,G06001900016001,Central Valley,2699
2169,G06001900016002,Central Valley,656
2170,G06001900016003,Central Valley,1822
2171,G06001900017001,Central Valley,1659
2172,G06001900017002,Central Valley,1478
2173,G06001900017003,Central Valley,3808
2174,G06001900018001,Central Valley,1485
2175,G06001900018002,Central Valley,883
2176,G06001900018003,Central Valley,1334
2177,G06001900018004,Central Valley,1135
2178,G06001900019001,Central Valley,798
2179,G06001900019002,Central Valley,1143
2180,G06001900019003,Central Valley,927
2181,G06001900020001,Central Valley,1661
2182,G06001900020002,Central Valley,1831
2183,G06001900020003,Central Valley,1149
2184,G06001900020004,Central Valley,897
2185,G06001900020005,Central Valley,746
2186,G06001900021001,Central Valley,837
2187,G06001900021002,Central Valley,1181
2188,G06001900021003,Central Valley,1691
2189,G06001900021004,Central Valley,1642
2190,G06001900021005,Central Valley,849
2191,G06001900022001,Central Valley,340
2192,G06001900022002,Central Valley,1176
2193,G06001900022003,Central Valley,1264
2194,G06001900022004,Central Valley,837
2195,G06001900023001,Central Valley,1560
2196,G06001900023002,Central Valley,855
2197,G06001900023003,Central Valley,1144
2198,G06001900024001,Central Valley,981
2199,G06001900024002,Central Valley,978
2200,G06001900024003,Central Valley,1406
2201,G06001900024004,Central Valley,1036
2202,G06001900025011,Central Valley,967
2203,G06001900025012,Central Valley,1028
2204,G06001900025013,Central Valley,677
2205,G06001900025014,Central Valley,2048
2206,G06001900025021,Central Valley,1677
2207,G06001900025022,Central Valley,1012
2208,G06001900025023,Central Valley,1888
2209,G06001900026011,Central Valley,984
2210,G06001900026012,Central Valley,2658
2211,G06001900026013,Central Valley,1329
2212,G06001900026021,Central Valley,819
2213,G06001900026022,Central Valley,1601
2214,G06001900026023,Central Valley,1060
2215,G06001900027011,Central Valley,1173
2216,G06001900027012,Central Valley,800
2217,G06001900027013,Central Valley,1088
2218,G06001900027014,Central Valley,1148
2219,G06001900027021,Central Valley,903
2220,G06001900027022,Central Valley,1543
2221,G06001900027023,Central Valley,2445
2222,G06001900028001,Central Valley,1785
2223,G06001900028002,Central Valley,500
2224,G06001900028003,Central Valley,1153
2225,G06001900028004,Central Valley,997
2226,G06001900029031,Central Valley,1405
2227,G06001900029032,Central Valley,1450
2228,G06001900029033,Central Valley,936
2229,G06001900029041,Central Valley,1794
2230,G06001900029042,Central Valley,1338
2231,G06001900029051,Central Valley,1424
2232,G06001900029052,Central Valley,1622
2233,G06001900029061,Central Valley,2393
2234,G06001900029062,Central Valley,1702
2235,G06001900029063,Central Valley,1134
2236,G06001900030011,Central Valley,1526
2237,G06001900030012,Central Valley,1715
2238,G06001900030031,Central Valley,2310
2239,G06001900030032,Central Valley,2056
2240,G06001900030041,Central Valley,1399
2241,G06001900030042,Central Valley,1013
2242,G06001900031021,Central Valley,760
2243,G06001900031022,Central Valley,1420
2244,G06001900031023,Central Valley,1276
2245,G06001900031024,Central Valley,1111
2246,G06001900031025,Central Valley,2991
2247,G06001900031031,Central Valley,1148
2248,G06001900031032,Central Valley,951
2249,G06001900031033,Central Valley,865
2250,G06001900031034,Central Valley,1383
2251,G06001900031035,Central Valley,992
2252,G06001900031041,Central Valley,2418
2253,G06001900031042,Central Valley,867
2254,G06001900031043,Central Valley,874
2255,G06001900032011,Central Valley,2133
2256,G06001900032012,Central Valley,3018
2257,G06001900032021,Central Valley,1711
2258,G06001900032022,Central Valley,882
2259,G06001900032023,Central Valley,3152
2260,G06001900033011,Central Valley,2191
2261,G06001900033012,Central Valley,988
2262,G06001900033021,Central Valley,869
2263,G06001900033022,Central Valley,1419
2264,G06001900033023,Central Valley,926
2265,G06001900033024,Central Valley,1452
2266,G06001900034001,Central Valley,1090
2267,G06001900034002,Central Valley,1823
2268,G06001900034003,Central Valley,1251
2269,G06001900034004,Central Valley,1292
2270,G06001900035001,Central Valley,1061
2271,G06001900035002,Central Valley,1048
2272,G06001900035003,Central Valley,891
2273,G06001900035004,Central Valley,936
2274,G06001900035005,Central Valley,965
2275,G06001900036001,Central Valley,717
2276,G06001900036002,Central Valley,764
2277,G06001900036003,Central Valley,759
2278,G06001900036004,Central Valley,1303
2279,G06001900036005,Central Valley,985
2280,G06001900037011,Central Valley,2037
2281,G06001900037012,Central Valley,1425
2282,G06001900037021,Central Valley,1985
2283,G06001900037022,Central Valley,1327
2284,G06001900037023,Central Valley,752
2285,G06001900037024,Central Valley,517
2286,G06001900038031,Central Valley,1375
2287,G06001900038032,Central Valley,8601
2288,G06001900038033,Central Valley,566
2289,G06001900038041,Central Valley,1991
2290,G06001900038042,Central Valley,1853
2291,G06001900038043,Central Valley,2505
2292,G06001900038051,Central Valley,2426
2293,G06001900038052,Central Valley,1593
2294,G06001900038053,Central Valley,3373
2295,G06001900038071,Central Valley,1384
2296,G06001900038072,Central Valley,1485
2297,G06001900038073,Central Valley,627
2298,G06001900038081,Central Valley,2183
2299,G06001900038082,Central Valley,2859
2300,G06001900038091,Central Valley,2532
2301,G06001900038092,Central Valley,2830
2302,G06001900038101,Central Valley,2525
2303,G06001900038102,Central Valley,3179
2304,G06001900039001,Central Valley,895
2305,G06001900039002,Central Valley,1700
2306,G06001900039003,Central Valley,1915
2307,G06001900039004,Central Valley,625
2308,G06001900039005,Central Valley,1342
2309,G06001900040011,Central Valley,4579
2310,G06001900040012,Central Valley,3088
2311,G06001900040013,Central Valley,791
2312,G06001900040021,Central Valley,2875
2313,G06001900040022,Central Valley,1757
2314,G06001900040023,Central Valley,2577
2315,G06001900041001,Central Valley,1512
2316,G06001900041002,Central Valley,1892
2317,G06001900042051,Central Valley,819
2318,G06001900042052,Central Valley,1034
2319,G06001900042053,Central Valley,2496
2320,G06001900042054,Central Valley,1804
2321,G06001900042071,Central Valley,8405
2322,G06001900042072,Central Valley,3516
2323,G06001900042081,Central Valley,5299
2324,G06001900042082,Central Valley,2068
2325,G06001900042101,Central Valley,1716
2326,G06001900042102,Central Valley,1986
2327,G06001900042111,Central Valley,2738
2328,G06001900042112,Central Valley,4244
2329,G06001900042121,Central Valley,5205
2330,G06001900042122,Central Valley,1199
2331,G06001900042123,Central Valley,4231
2332,G06001900042124,Central Valley,1744
2333,G06001900042131,Central Valley,1557
2334,G06001900042132,Central Valley,1767
2335,G06001900042141,Central Valley,1295
2336,G06001900042142,Central Valley,675
2337,G06001900042143,Central Valley,1253
2338,G06001900042144,Central Valley,1347
2339,G06001900042151,Central Valley,4557
2340,G06001900042161,Central Valley,3454
2341,G06001900043011,Central Valley,990
2342,G06001900043012,Central Valley,1241
2343,G06001900043013,Central Valley,1898
2344,G06001900043021,Central Valley,766
2345,G06001900043022,Central Valley,898
2346,G06001900043023,Central Valley,1027
2347,G06001900043024,Central Valley,1038
2348,G06001900043025,Central Valley,1514
2349,G06001900043031,Central Valley,1207
2350,G06001900043032,Central Valley,1021
2351,G06001900043033,Central Valley,661
2352,G06001900043034,Central Valley,1637
2353,G06001900044041,Central Valley,2122
2354,G06001900044042,Central Valley,1030
2355,G06001900044051,Central Valley,796
2356,G06001900044052,Central Valley,1794
2357,G06001900044053,Central Valley,1073
2358,G06001900044061,Central Valley,2540
2359,G06001900044062,Central Valley,607
2360,G06001900044063,Central Valley,2181
2361,G06001900044081,Central Valley,1802
2362,G06001900044082,Central Valley,1764
2363,G06001900044091,Central Valley,1260
2364,G06001900044092,Central Valley,865
2365,G06001900044093,Central Valley,1107
2366,G06001900045031,Central Valley,1824
2367,G06001900045032,Central Valley,3352
2368,G06001900045041,Central Valley,1968
2369,G06001900045042,Central Valley,1207
2370,G06001900045043,Central Valley,1343
2371,G06001900045044,Central Valley,727
2372,G06001900045051,Central Valley,2540
2373,G06001900045052,Central Valley,2885
2374,G06001900045061,Central Valley,1700
2375,G06001900045062,Central Valley,1554
2376,G06001900046011,Central Valley,1875
2377,G06001900046012,Central Valley,1261
2378,G06001900046021,Central Valley,779
2379,G06001900046022,Central Valley,1284
2380,G06001900046023,Central Valley,774
2381,G06001900047011,Central Valley,1678
2382,G06001900047012,Central Valley,1993
2383,G06001900047013,Central Valley,1737
2384,G06001900047014,Central Valley,1515
2385,G06001900047031,Central Valley,1926
2386,G06001900047032,Central Valley,1371
2387,G06001900047033,Central Valley,833
2388,G06001900047041,Central Valley,3221
2389,G06001900047042,Central Valley,2124
2390,G06001900048011,Central Valley,779
2391,G06001900048012,Central Valley,1086
2392,G06001900048013,Central Valley,641
2393,G06001900048014,Central Valley,2305
2394,G06001900048021,Central Valley,2207
2395,G06001900048022,Central Valley,1145
2396,G06001900048023,Central Valley,1096
2397,G06001900049011,Central Valley,2089
2398,G06001900049012,Central Valley,1968
2399,G06001900049021,Central Valley,1279
2400,G06001900049022,Central Valley,954
2401,G06001900050001,Central Valley,1058
2402,G06001900050002,Central Valley,1977
2403,G06001900050003,Central Valley,1513
2404,G06001900051001,Central Valley,1644
2405,G06001900051002,Central Valley,1278
2406,G06001900051003,Central Valley,1245
2407,G06001900051004,Central Valley,1240
2408,G06001900051005,Central Valley,1392
2409,G06001900052021,Central Valley,1188
2410,G06001900052022,Central Valley,1862
2411,G06001900052031,Central Valley,2947
2412,G06001900052032,Central Valley,2160
2413,G06001900052041,Central Valley,2040
2414,G06001900052042,Central Valley,1136
2415,G06001900052043,Central Valley,1123
2416,G06001900053011,Central Valley,1707
2417,G06001900053012,Central Valley,1292
2418,G06001900053013,Central Valley,3019
2419,G06001900053021,Central Valley,2358
2420,G06001900053022,Central Valley,2997
2421,G06001900053041,Central Valley,1513
2422,G06001900053042,Central Valley,2966
2423,G06001900053043,Central Valley,886
2424,G06001900053051,Central Valley,1846
2425,G06001900053052,Central Valley,1802
2426,G06001900054031,Central Valley,2060
2427,G06001900054032,Central Valley,1264
2428,G06001900054033,Central Valley,1548
2429,G06001900054051,Central Valley,2028
2430,G06001900054052,Central Valley,1192
2431,G06001900054053,Central Valley,1473
2432,G06001900054061,Central Valley,1191
2433,G06001900054062,Central Valley,832
2434,G06001900054063,Central Valley,2169
2435,G06001900054071,Central Valley,1331
2436,G06001900054072,Central Valley,2145
2437,G06001900054081,Central Valley,2268
2438,G06001900054091,Central Valley,1974
2439,G06001900054092,Central Valley,1354
2440,G06001900054101,Central Valley,696
2441,G06001900054102,Central Valley,2840
2442,G06001900055031,Central Valley,2592
2443,G06001900055032,Central Valley,3114
2444,G06001900055041,Central Valley,3384
2445,G06001900055051,Central Valley,7095
2446,G06001900055071,Central Valley,2803
2447,G06001900055072,Central Valley,2700
2448,G06001900055081,Central Valley,2065
2449,G06001900055082,Central Valley,3606
2450,G06001900055091,Central Valley,2294
2451,G06001900055092,Central Valley,2834
2452,G06001900055101,Central Valley,1570
2453,G06001900055102,Central Valley,1635
2454,G06001900055103,Central Valley,1778
2455,G06001900055121,Central Valley,2746
2456,G06001900055122,Central Valley,2630
2457,G06001900055131,Central Valley,1683
2458,G06001900055132,Central Valley,1312
2459,G06001900055141,Central Valley,1300
2460,G06001900055142,Central Valley,1389
2461,G06001900055143,Central Valley,1352
2462,G06001900055151,Central Valley,1820
2463,G06001900055161,Central Valley,2830
2464,G06001900055162,Central Valley,1913
2465,G06001900055163,Central Valley,1437
2466,G06001900055171,Central Valley,4411
2467,G06001900055172,Central Valley,1609
2468,G06001900055173,Central Valley,1958
2469,G06001900055181,Central Valley,5790
2470,G06001900055201,Central Valley,1807
2471,G06001900055202,Central Valley,74
2472,G06001900055203,Central Valley,1116
2473,G06001900055221,Central Valley,345
2474,G06001900055222,Central Valley,624
2475,G06001900055223,Central Valley,3524
2476,G06001900055224,Central Valley,367
2477,G06001900055241,Central Valley,4660
2478,G06001900055251,Central Valley,310
2479,G06001900055252,Central Valley,731
2480,G06001900056021,Central Valley,1165
2481,G06001900056022,Central Valley,1728
2482,G06001900056023,Central Valley,1253
2483,G06001900056024,Central Valley,845
2484,G06001900056051,Central Valley,1745
2485,G06001900056061,Central Valley,1961
2486,G06001900056062,Central Valley,2049
2487,G06001900056071,Central Valley,1069
2488,G06001900056072,Central Valley,1423
2489,G06001900056073,Central Valley,1367
2490,G06001900056074,Central Valley,829
2491,G06001900056081,Central Valley,910
2492,G06001900056082,Central Valley,505
2493,G06001900056083,Central Valley,1195
2494,G06001900056084,Central Valley,527
2495,G06001900057011,Central Valley,1192
2496,G06001900057012,Central Valley,392
2497,G06001900057013,Central Valley,1032
2498,G06001900057014,Central Valley,966
2499,G06001900057021,Central Valley,798
2500,G06001900057022,Central Valley,1382
2501,G06001900057023,Central Valley,1455
2502,G06001900057024,Central Valley,1619
2503,G06001900057031,Central Valley,784
2504,G06001900057032,Central Valley,1763
2505,G06001900057033,Central Valley,1547
2506,G06001900057034,Central Valley,1105
2507,G06001900057041,Central Valley,1503
2508,G06001900057042,Central Valley,1480
2509,G06001900057043,Central Valley,1300
2510,G06001900057044,Central Valley,903
2511,G06001900058011,Central Valley,2080
2512,G06001900058012,Central Valley,1330
2513,G06001900058013,Central Valley,1289
2514,G06001900058021,Central Valley,1982
2515,G06001900058022,Central Valley,2818
2516,G06001900058041,Central Valley,1040
2517,G06001900058042,Central Valley,1222
2518,G06001900058043,Central Valley,1914
2519,G06001900058044,Central Valley,1202
2520,G06001900058045,Central Valley,1562
2521,G06001900058051,Central Valley,6416
2522,G06001900059041,Central Valley,5605
2523,G06001900059042,Central Valley,793
2524,G06001900059051,Central Valley,1688
2525,G06001900059052,Central Valley,4481
2526,G06001900059053,Central Valley,1266
2527,G06001900059061,Central Valley,1759
2528,G06001900059062,Central Valley,668
2529,G06001900059071,Central Valley,114
2530,G06001900059072,Central Valley,3371
2531,G06001900059091,Central Valley,4643
2532,G06001900059092,Central Valley,3392
2533,G06001900059111,Central Valley,4875
2534,G06001900059112,Central Valley,1143
2535,G06001900059121,Central Valley,4053
2536,G06001900059122,Central Valley,1812
2537,G06001900060001,Central Valley,4492
2538,G06001900060002,Central Valley,1182
2539,G06001900060003,Central Valley,1535
2540,G06001900060004,Central Valley,1468
2541,G06001900060005,Central Valley,1111
2542,G06001900061001,Central Valley,978
2543,G06001900061002,Central Valley,1856
2544,G06001900061003,Central Valley,905
2545,G06001900061004,Central Valley,1181
2546,G06001900061005,Central Valley,3206
2547,G06001900062011,Central Valley,1310
2548,G06001900062012,Central Valley,1047
2549,G06001900062021,Central Valley,1293
2550,G06001900062022,Central Valley,1351
2551,G06001900062023,Central Valley,1625
2552,G06001900062024,Central Valley,1933
2553,G06001900063001,Central Valley,1440
2554,G06001900063002,Central Valley,859
2555,G06001900063003,Central Valley,1827
2556,G06001900063004,Central Valley,730
2557,G06001900063005,Central Valley,2651
2558,G06001900064021,Central Valley,208
2559,G06001900064022,Central Valley,1102
2560,G06001900064023,Central Valley,1100
2561,G06001900064024,Central Valley,83
2562,G06001900064025,Central Valley,10
2563,G06001900064026,Central Valley,276
2564,G06001900064031,Central Valley,1945
2565,G06001900064032,Central Valley,199
2566,G06001900064033,Central Valley,1605
2567,G06001900064034,Central Valley,2352
2568,G06001900064041,Central Valley,1946
2569,G06001900064042,Central Valley,573
2570,G06001900064043,Central Valley,2212
2571,G06001900064051,Central Valley,2365
2572,G06001900064052,Central Valley,1116
2573,G06001900064053,Central Valley,1736
2574,G06001900065011,Central Valley,4740
2575,G06001900065012,Central Valley,991
2576,G06001900065013,Central Valley,1140
2577,G06001900065021,Central Valley,1554
2578,G06001900065022,Central Valley,3256
2579,G06001900066021,Central Valley,745
2580,G06001900066022,Central Valley,1952
2581,G06001900066023,Central Valley,1910
2582,G06001900066024,Central Valley,1476
2583,G06001900066031,Central Valley,741
2584,G06001900066032,Central Valley,1571
2585,G06001900066041,Central Valley,2608
2586,G06001900066042,Central Valley,2699
2587,G06001900066043,Central Valley,512
2588,G06001900066044,Central Valley,1029
2589,G06001900066045,Central Valley,920
2590,G06001900067001,Central Valley,898
2591,G06001900067002,Central Valley,666
2592,G06001900067003,Central Valley,2654
2593,G06001900067004,Central Valley,973
2594,G06001900067005,Central Valley,1154
2595,G06001900068021,Central Valley,867
2596,G06001900068022,Central Valley,781
2597,G06001900068023,Central Valley,1419
2598,G06001900068024,Central Valley,272
2599,G06001900069001,Central Valley,1261
2600,G06001900069002,Central Valley,1001
2601,G06001900069003,Central Valley,1031
2602,G06001900070021,Central Valley,1412
2603,G06001900070022,Central Valley,1433
2604,G06001900070023,Central Valley,2098
2605,G06001900070031,Central Valley,1642
2606,G06001900070032,Central Valley,3259
2607,G06001900070033,Central Valley,1315
2608,G06001900070034,Central Valley,1845
2609,G06001900070041,Central Valley,1313
2610,G06001900070042,Central Valley,2979
2611,G06001900070043,Central Valley,1521
2612,G06001900071001,Central Valley,902
2613,G06001900071002,Central Valley,228
2614,G06001900071003,Central Valley,854
2615,G06001900071004,Central Valley,2117
2616,G06001900071005,Central Valley,3536
2617,G06001900072011,Central Valley,1820
2618,G06001900072012,Central Valley,2246
2619,G06001900072013,Central Valley,982
2620,G06001900072014,Central Valley,789
2621,G06001900072015,Central Valley,2359
2622,G06001900072021,Central Valley,1813
2623,G06001900072022,Central Valley,3331
2624,G06001900073001,Central Valley,1057
2625,G06001900073002,Central Valley,560
2626,G06001900073003,Central Valley,977
2627,G06001900073004,Central Valley,889
2628,G06001900073005,Central Valley,842
2629,G06001900074001,Central Valley,877
2630,G06001900074002,Central Valley,693
2631,G06001900074003,Central Valley,1837
2632,G06001900075001,Central Valley,1039
2633,G06001900075002,Central Valley,698
2634,G06001900075003,Central Valley,772
2635,G06001900075004,Central Valley,1033
2636,G06001900075005,Central Valley,1526
2637,G06001900076001,Central Valley,609
2638,G06001900076002,Central Valley,831
2639,G06001900076003,Central Valley,1409
2640,G06001900076004,Central Valley,1424
2641,G06001900077001,Central Valley,2074
2642,G06001900077002,Central Valley,999
2643,G06001900077003,Central Valley,1644
2644,G06001900077004,Central Valley,504
2645,G06001900078011,Central Valley,2731
2646,G06001900078021,Central Valley,600
2647,G06001900078022,Central Valley,1245
2648,G06001900078023,Central Valley,2081
2649,G06001900078024,Central Valley,1428
2650,G06001900079011,Central Valley,3251
2651,G06001900079021,Central Coast,1327
2652,G06001900079022,Central Valley,1625
2653,G06001900080001,Central Valley,701
2654,G06001900080002,Central Valley,1633
2655,G06001900080003,Central Valley,767
2656,G06001900080004,Central Valley,1171
2657,G06001900080005,Central Valley,1088
2658,G06001900081001,Central Valley,1665
2659,G06001900081002,Central Valley,2535
2660,G06001900081003,Central Valley,1001
2661,G06001900081004,Central Valley,1331
2662,G06001900082001,Central Valley,644
2663,G06001900082002,Central Valley,725
2664,G06001900082003,Central Valley,227
2665,G06001900082004,Central Valley,3298
2666,G06001900082005,Central Valley,749
2667,G06001900082006,Central Valley,1125
2668,G06001900083011,Central Valley,1260
2669,G06001900083012,Central Valley,2053
2670,G06001900083013,Central Valley,2696
2671,G06001900083021,Central Valley,3158
2672,G06001900083022,Central Coast,1300
2673,G06001900083023,Central Coast,584
2674,G06001900083024,Central Valley,936
2675,G06001900083025,Central Valley,1428
2676,G06001900084011,Central Valley,3351
2677,G06001900084012,Central Valley,981
2678,G06001900084013,Central Valley,935
2679,G06001900084014,Central Valley,1925
2680,G06001900084015,Central Valley,733
2681,G06001900084016,Central Valley,932
2682,G06001900084021,Central Valley,521
2683,G06001900084022,Central Coast,459
2684,G06001900085011,Central Valley,1634
2685,G06001900085012,Central Valley,1847
2686,G06001900085013,Central Valley,939
2687,G06001900085021,Central Valley,3465
2688,G06001900085022,Central Valley,2336
2689,G06001900085023,Central Valley,3441
2690,G06002100101001,Central Valley,2590
2691,G06002100101002,Central Valley,3026
2692,G06002100101003,Central Valley,1935
2693,G06002100101004,Central Valley,1161
2694,G06002100102001,Central Valley,1390
2695,G06002100102002,Central Valley,1955
2696,G06002100102003,Central Valley,393
2697,G06002100102004,Central Valley,1280
2698,G06002100103001,Central Valley,581
2699,G06002100103002,Central Valley,881
2700,G06002100103003,Central Valley,494
2701,G06002100104001,Central Valley,1306
2702,G06002100104002,Central Valley,1866
2703,G06002100104003,Central Valley,1027
2704,G06002100104004,Central Valley,1031
2705,G06002100104005,Central Valley,961
2706,G06002100104006,Central Valley,354
2707,G06002100104007,Central Valley,573
2708,G06002100105011,Central Valley,2113
2709,G06002100105012,Central Valley,588
2710,G06002100105013,Central Valley,877
2711,G06002100105021,Central Valley,941
2712,G06002100105022,Central Valley,653
2713,G06002300001001,Northern California,1448
2714,G06002300001002,Northern California,1181
2715,G06002300001003,Northern California,592
2716,G06002300001004,Northern California,1021
2717,G06002300002001,Northern California,705
2718,G06002300002002,Northern California,745
2719,G06002300002003,Northern California,401
2720,G06002300002004,Northern California,1754
2721,G06002300002005,Northern California,807
2722,G06002300002006,Northern California,1016
2723,G06002300003001,Northern California,873
2724,G06002300003002,Northern California,657
2725,G06002300003003,Northern California,890
2726,G06002300003004,Northern California,2000
2727,G06002300003005,Northern California,1368
2728,G06002300004001,Northern California,1003
2729,G06002300004002,Northern California,1084
2730,G06002300004003,Northern California,2217
2731,G06002300005001,Northern California,1541
2732,G06002300005002,Northern California,899
2733,G06002300005003,Northern California,929
2734,G06002300005004,Northern California,1081
2735,G06002300006001,Northern California,562
2736,G06002300006002,Northern California,1000
2737,G06002300006003,Northern California,811
2738,G06002300006004,Northern California,1659
2739,G06002300006005,Northern California,966
2740,G06002300007001,Northern California,1420
2741,G06002300007002,Northern California,1524
2742,G06002300007003,Northern California,1653
2743,G06002300007004,Northern California,719
2744,G06002300008001,Northern California,2001
2745,G06002300008002,Northern California,1887
2746,G06002300008003,Northern California,1341
2747,G06002300009001,Northern California,1584
2748,G06002300009002,Northern California,1339
2749,G06002300009003,Northern California,2306
2750,G06002300010001,Northern California,1121
2751,G06002300010002,Northern California,1168
2752,G06002300010003,Northern California,938
2753,G06002300010004,Northern California,1172
2754,G06002300010005,Northern California,1939
2755,G06002300011011,Northern California,1455
2756,G06002300011012,Northern California,1875
2757,G06002300011013,Northern California,1968
2758,G06002300011014,Northern California,1543
2759,G06002300012001,Northern California,2552
2760,G06002300012002,Northern California,1085
2761,G06002300012003,Northern California,1038
2762,G06002300013001,Northern California,1320
2763,G06002300101021,Northern California,1283
2764,G06002300101022,Northern California,203
2765,G06002300101023,Northern California,598
2766,G06002300101024,Northern California,339
2767,G06002300102001,Northern California,1199
2768,G06002300102002,Northern California,657
2769,G06002300102003,Northern California,919
2770,G06002300103001,Northern California,853
2771,G06002300103002,Northern California,591
2772,G06002300103003,Northern California,517
2773,G06002300103004,Northern California,761
2774,G06002300103005,Northern California,624
2775,G06002300104001,Northern California,1850
2776,G06002300104002,Northern California,1809
2777,G06002300105011,Northern California,2118
2778,G06002300105012,Northern California,2536
2779,G06002300105013,Northern California,1691
2780,G06002300105014,Northern California,1531
2781,G06002300105021,Northern California,2479
2782,G06002300105022,Northern California,1468
2783,G06002300105023,Northern California,2361
2784,G06002300106001,Northern California,1229
2785,G06002300106002,Northern California,673
2786,G06002300107001,Northern California,869
2787,G06002300107002,Northern California,2251
2788,G06002300107003,Northern California,2942
2789,G06002300107004,Northern California,306
2790,G06002300107005,Northern California,1373
2791,G06002300108001,Northern California,1059
2792,G06002300108002,Northern California,963
2793,G06002300108003,Northern California,1234
2794,G06002300108004,Northern California,1350
2795,G06002300109011,Northern California,835
2796,G06002300109012,Northern California,1073
2797,G06002300109013,Northern California,2747
2798,G06002300109021,Northern California,538
2799,G06002300109022,Northern California,1127
2800,G06002300109023,Northern California,1074
2801,G06002300109024,Northern California,1440
2802,G06002300110001,Northern California,1942
2803,G06002300110002,Northern California,1526
2804,G06002300110003,Northern California,1219
2805,G06002300111001,Northern California,1229
2806,G06002300111002,Northern California,1386
2807,G06002300111003,Northern California,883
2808,G06002300111004,Northern California,849
2809,G06002300112001,Northern California,898
2810,G06002300112002,Northern California,926
2811,G06002300112003,Northern California,1485
2812,G06002300115001,Northern California,1358
2813,G06002300115002,Northern California,972
2814,G06002300115003,Northern California,911
2815,G06002300116001,Northern California,831
2816,G06002300116002,Northern California,1189
2817,G06002300116003,Northern California,1445
2818,G06002309400001,Northern California,1627
2819,G06002309400002,Northern California,1636
2820,G06002500101011,Southern California,4137
2821,G06002500101021,Southern California,815
2822,G06002500101022,Southern California,1361
2823,G06002500101023,Southern California,1177
2824,G06002500101024,Southern California,755
2825,G06002500102001,Southern California,917
2826,G06002500102002,Southern California,1811
2827,G06002500103001,Southern California,1046
2828,G06002500104001,Southern California,1523
2829,G06002500104002,Southern California,1285
2830,G06002500104003,Southern California,722
2831,G06002500104004,Southern California,2002
2832,G06002500104005,Southern California,1771
2833,G06002500105001,Southern California,3666
2834,G06002500105002,Southern California,1197
2835,G06002500105003,Southern California,1614
2836,G06002500105004,Southern California,944
2837,G06002500106001,Southern California,2225
2838,G06002500106002,Southern California,912
2839,G06002500106003,Southern California,1011
2840,G06002500106004,Southern California,2762
2841,G06002500107001,Southern California,1052
2842,G06002500107002,Southern California,1316
2843,G06002500107003,Southern California,2041
2844,G06002500108001,Southern California,319
2845,G06002500108002,Southern California,809
2846,G06002500109001,Southern California,1898
2847,G06002500109002,Southern California,1903
2848,G06002500109003,Southern California,1440
2849,G06002500109004,Southern California,677
2850,G06002500109005,Southern California,1063
2851,G06002500109006,Southern California,516
2852,G06002500110001,Southern California,890
2853,G06002500110002,Southern California,1287
2854,G06002500110003,Southern California,567
2855,G06002500110004,Southern California,1315
2856,G06002500110005,Southern California,6080
2857,G06002500110006,Southern California,4709
2858,G06002500111001,Southern California,444
2859,G06002500111002,Southern California,1765
2860,G06002500111003,Southern California,2010
