,GISJOIN,REGION,POP
179,G06000104062023,Bay Area,2086
180,G06000104063001,Bay Area,1075
181,G06000104063002,Bay Area,1442
182,G06000104063003,Bay Area,1063
183,G06000104063004,Bay Area,803
184,G06000104064001,Bay Area,530
185,G06000104064002,Bay Area,2015
186,G06000104065001,Bay Area,2443
187,G06000104065002,Bay Area,932
188,G06000104065003,Bay Area,1693
189,G06000104065004,Bay Area,1518
190,G06000104066011,Bay Area,1059
191,G06000104066012,Bay Area,1662
192,G06000104066013,Bay Area,1631
193,G06000104066014,Bay Area,603
194,G06000104066021,Bay Area,1110
195,G06000104066022,Bay Area,1588
196,G06000104067001,Bay Area,1277
197,G06000104067002,Bay Area,541
198,G06000104067003,Bay Area,1892
199,G06000104067004,Bay Area,875
200,G06000104067005,Bay Area,574
201,G06000104068001,Bay Area,586
202,G06000104068002,Bay Area,1070
203,G06000104068003,Bay Area,1031
204,G06000104068004,Bay Area,924
205,G06000104069001,Bay Area,622
206,G06000104069002,Bay Area,1360
207,G06000104069003,Bay Area,1626
208,G06000104070001,Bay Area,1066
209,G06000104070002,Bay Area,1278
210,G06000104070003,Bay Area,676
211,G06000104070004,Bay Area,1587
212,G06000104070005,Bay Area,1262
213,G06000104071011,Bay Area,2484
214,G06000104071012,Bay Area,1337
215,G06000104071021,Bay Area,1417
216,G06000104071022,Bay Area,1125
217,G06000104071023,Bay Area,1054
218,G06000104071024,Bay Area,791
219,G06000104072001,Bay Area,1981
220,G06000104072002,Bay Area,1704
221,G06000104072003,Bay Area,1164
222,G06000104072004,Bay Area,2136
223,G06000104073001,Bay Area,1297
224,G06000104073002,Bay Area,1123
225,G06000104074001,Bay Area,2085
226,G06000104074002,Bay Area,1459
227,G06000104074003,Bay Area,987
228,G06000104075001,Bay Area,802
229,G06000104075002,Bay Area,2444
230,G06000104075003,Bay Area,1053
231,G06000104076001,Bay Area,1406
232,G06000104076002,Bay Area,1114
233,G06000104076003,Bay Area,1367
234,G06000104076004,Bay Area,1301
235,G06000104076005,Bay Area,1139
236,G06000104077001,Bay Area,1379
237,G06000104077002,Bay Area,871
238,G06000104077003,Bay Area,926
239,G06000104077004,Bay Area,946
240,G06000104078001,Bay Area,872
241,G06000104078002,Bay Area,854
242,G06000104078003,Bay Area,1002
243,G06000104079001,Bay Area,739
244,G06000104079002,Bay Area,925
245,G06000104079003,Bay Area,1209
246,G06000104080001,Bay Area,639
247,G06000104080002,Bay Area,2061
248,G06000104081001,Bay Area,1084
249,G06000104081002,Bay Area,3423
250,G06000104081003,Bay Area,1116
251,G06000104081004,Bay Area,697
252,G06000104082001,Bay Area,1476
253,G06000104082002,Bay Area,2176
254,G06000104082003,Bay Area,918
255,G06000104083001,Bay Area,688
256,G06000104083002,Bay Area,1423
257,G06000104083003,Bay Area,808
258,G06000104083004,Bay Area,1243
259,G06000104083005,Bay Area,885
260,G06000104084001,Bay Area,1330
261,G06000104084002,Bay Area,876
262,G06000104084003,Bay Area,995
263,G06000104085001,Bay Area,946
264,G06000104085002,Bay Area,1479
265,G06000104085003,Bay Area,683
266,G06000104085004,Bay Area,1054
267,G06000104085005,Bay Area,1815
268,G06000104086001,Bay Area,1889
269,G06000104086002,Bay Area,2701
270,G06000104086003,Bay Area,1383
271,G06000104086004,Bay Area,1123
272,G06000104087001,Bay Area,850
273,G06000104087002,Bay Area,1904
274,G06000104087003,Bay Area,1700
275,G06000104087004,Bay Area,1039
276,G06000104087005,Bay Area,1136
277,G06000104087006,Bay Area,1280
278,G06000104088001,Bay Area,1690
279,G06000104088002,Bay Area,2438
280,G06000104088003,Bay Area,870
281,G06000104088004,Bay Area,2151
282,G06000104089001,Bay Area,1884
283,G06000104089002,Bay Area,1662
284,G06000104090001,Bay Area,2490
285,G06000104090002,Bay Area,0
286,G06000104090003,Bay Area,2197
287,G06000104090004,Bay Area,0
288,G06000104091001,Bay Area,1385
289,G06000104091002,Bay Area,1105
290,G06000104092001,Bay Area,2017
291,G06000104092002,Bay Area,1655
292,G06000104093001,Bay Area,1971
293,G06000104093002,Bay Area,1573
294,G06000104093003,Bay Area,952
295,G06000104093004,Bay Area,807
296,G06000104094001,Bay Area,598
297,G06000104094002,Bay Area,2294
298,G06000104094003,Bay Area,1888
299,G06000104095001,Bay Area,1488
300,G06000104095002,Bay Area,1476
301,G06000104095003,Bay Area,1164
302,G06000104096001,Bay Area,1384
303,G06000104096002,Bay Area,631
304,G06000104096003,Bay Area,920
305,G06000104096004,Bay Area,750
306,G06000104096005,Bay Area,1293
307,G06000104097001,Bay Area,1077
308,G06000104097002,Bay Area,1893
309,G06000104097003,Bay Area,964
310,G06000104097004,Bay Area,1057
311,G06000104098001,Bay Area,1011
312,G06000104098002,Bay Area,1836
313,G06000104098003,Bay Area,669
314,G06000104099001,Bay Area,443
315,G06000104099002,Bay Area,727
316,G06000104099003,Bay Area,1418
317,G06000104099004,Bay Area,1054
318,G06000104100001,Bay Area,985
319,G06000104100002,Bay Area,2257
320,G06000104100003,Bay Area,0
321,G06000104101001,Bay Area,1093
322,G06000104101002,Bay Area,1574
323,G06000104102001,Bay Area,1072
324,G06000104102002,Bay Area,1384
325,G06000104102003,Bay Area,1174
326,G06000104103001,Bay Area,971
327,G06000104103002,Bay Area,1207
328,G06000104103003,Bay Area,1679
329,G06000104104001,Bay Area,1290
330,G06000104104002,Bay Area,1400
331,G06000104104003,Bay Area,1787
332,G06000104105001,Bay Area,2705
333,G06000104201001,Bay Area,1095
334,G06000104201002,Bay Area,778
335,G06000104201003,Bay Area,567
336,G06000104202001,Bay Area,1355
