OID_,GISJOIN,REGION
6713,G06003704075021,Los Angeles
6714,G06003704075022,Los Angeles
6715,G06003704075023,Los Angeles
6716,G06003704076011,Los Angeles
6717,G06003704076012,Los Angeles
6718,G06003704076013,Los Angeles
6719,G06003704076021,Los Angeles
6720,G06003704076022,Los Angeles
6721,G06003704076023,Los Angeles
6722,G06003704076024,Los Angeles
6723,G06003704077011,Los Angeles
6724,G06003704077012,Los Angeles
6725,G06003704077013,Los Angeles
6726,G06003704077021,Los Angeles
6727,G06003704077022,Los Angeles
6728,G06003704077023,Los Angeles
6729,G06003704078011,Los Angeles
6730,G06003704078012,Los Angeles
6731,G06003704078013,Los Angeles
6732,G06003704078021,Los Angeles
6733,G06003704078022,Los Angeles
6734,G06003704079001,Los Angeles
6735,G06003704079002,Los Angeles
6736,G06003704080031,Los Angeles
6737,G06003704080032,Los Angeles
6738,G06003704080041,Los Angeles
6739,G06003704080051,Los Angeles
6740,G06003704080052,Los Angeles
6741,G06003704080053,Los Angeles
6742,G06003704080061,Los Angeles
6743,G06003704081331,Los Angeles
6744,G06003704081332,Los Angeles
6745,G06003704081333,Los Angeles
6746,G06003704081341,Los Angeles
6747,G06003704081351,Los Angeles
6748,G06003704081352,Los Angeles
6749,G06003704081361,Los Angeles
6750,G06003704081362,Los Angeles
6751,G06003704081371,Los Angeles
6752,G06003704081372,Los Angeles
6753,G06003704081381,Los Angeles
6754,G06003704081382,Los Angeles
6755,G06003704081391,Los Angeles
6756,G06003704081392,Los Angeles
6757,G06003704081401,Los Angeles
6758,G06003704081402,Los Angeles
6759,G06003704081411,Los Angeles
6760,G06003704081412,Los Angeles
6761,G06003704082021,Los Angeles
6762,G06003704082022,Los Angeles
6763,G06003704082111,Los Angeles
6764,G06003704082112,Los Angeles
6765,G06003704082113,Los Angeles
6766,G06003704082121,Los Angeles
6767,G06003704082122,Los Angeles
6768,G06003704083011,Los Angeles
6769,G06003704083012,Los Angeles
6770,G06003704083021,Los Angeles
6771,G06003704083031,Los Angeles
6772,G06003704084011,Los Angeles
6773,G06003704084012,Los Angeles
6774,G06003704084021,Los Angeles
6775,G06003704084022,Los Angeles
6776,G06003704084023,Los Angeles
6777,G06003704085011,Los Angeles
6778,G06003704085031,Los Angeles
6779,G06003704085032,Los Angeles
6780,G06003704085033,Los Angeles
6781,G06003704085041,Los Angeles
6782,G06003704085042,Los Angeles
6783,G06003704085043,Los Angeles
6784,G06003704085051,Los Angeles
6785,G06003704085052,Los Angeles
6786,G06003704086231,Los Angeles
6787,G06003704086241,Los Angeles
6788,G06003704086242,Los Angeles
6789,G06003704086251,Los Angeles
6790,G06003704086252,Los Angeles
6791,G06003704086253,Los Angeles
6792,G06003704086261,Los Angeles
6793,G06003704086262,Los Angeles
6794,G06003704086263,Los Angeles
6795,G06003704086271,Los Angeles
6796,G06003704086272,Los Angeles
6797,G06003704086281,Los Angeles
6798,G06003704086282,Los Angeles
6799,G06003704086283,Los Angeles
6800,G06003704086291,Los Angeles
6801,G06003704086292,Los Angeles
6802,G06003704086301,Los Angeles
6803,G06003704086302,Los Angeles
6804,G06003704086311,Los Angeles
6805,G06003704086312,Los Angeles
6806,G06003704086313,Los Angeles
6807,G06003704087031,Los Angeles
6808,G06003704087032,Los Angeles
6809,G06003704087041,Los Angeles
6810,G06003704087051,Los Angeles
6811,G06003704087052,Los Angeles
6812,G06003704087053,Los Angeles
6813,G06003704087061,Los Angeles
6814,G06003704087221,Los Angeles
6815,G06003704087222,Los Angeles
6816,G06003704087231,Los Angeles
6817,G06003704087241,Los Angeles
6818,G06003704087242,Los Angeles
6819,G06003704088001,Los Angeles
6820,G06003704088002,Los Angeles
6821,G06003704088003,Los Angeles
6822,G06003704300021,Los Angeles
6823,G06003704300022,Los Angeles
6824,G06003704300023,Los Angeles
6825,G06003704300024,Los Angeles
6826,G06003704300025,Los Angeles
6827,G06003704300031,Los Angeles
6828,G06003704300032,Los Angeles
6829,G06003704300033,Los Angeles
6830,G06003704300034,Los Angeles
6831,G06003704301011,Los Angeles
6832,G06003704301012,Los Angeles
6833,G06003704301013,Los Angeles
6834,G06003704301014,Los Angeles
6835,G06003704301021,Los Angeles
6836,G06003704301022,Los Angeles
6837,G06003704301023,Los Angeles
6838,G06003704302001,Los Angeles
6839,G06003704303011,Los Angeles
6840,G06003704303012,Los Angeles
6841,G06003704303013,Los Angeles
6842,G06003704303014,Los Angeles
6843,G06003704303021,Los Angeles
6844,G06003704303022,Los Angeles
6845,G06003704303023,Los Angeles
6846,G06003704303024,Los Angeles
6847,G06003704303025,Los Angeles
6848,G06003704304001,Los Angeles
6849,G06003704304002,Los Angeles
6850,G06003704304003,Los Angeles
6851,G06003704304004,Los Angeles
6852,G06003704305011,Los Angeles
6853,G06003704305012,Los Angeles
6854,G06003704305013,Los Angeles
6855,G06003704305014,Los Angeles
6856,G06003704305021,Los Angeles
6857,G06003704305022,Los Angeles
6858,G06003704305023,Los Angeles
6859,G06003704305024,Los Angeles
6860,G06003704305025,Los Angeles
6861,G06003704305026,Los Angeles
6862,G06003704306001,Los Angeles
6863,G06003704306002,Los Angeles
6864,G06003704306003,Los Angeles
6865,G06003704306004,Los Angeles
6866,G06003704307011,Los Angeles
6867,G06003704307012,Los Angeles
6868,G06003704307013,Los Angeles
6869,G06003704307014,Los Angeles
6870,G06003704307211,Los Angeles
6871,G06003704307212,Los Angeles
6872,G06003704307213,Los Angeles
6873,G06003704307231,Los Angeles
6874,G06003704307232,Los Angeles
6875,G06003704307241,Los Angeles
6876,G06003704307242,Los Angeles
6877,G06003704308011,Los Angeles
6878,G06003704308012,Los Angeles
6879,G06003704308013,Los Angeles
6880,G06003704308014,Los Angeles
6881,G06003704308021,Los Angeles
6882,G06003704308022,Los Angeles
6883,G06003704308023,Los Angeles
6884,G06003704308024,Los Angeles
6885,G06003704308031,Los Angeles
6886,G06003704308032,Los Angeles
6887,G06003704308033,Los Angeles
6888,G06003704308034,Los Angeles
6889,G06003704308035,Los Angeles
6890,G06003704309011,Los Angeles
6891,G06003704309012,Los Angeles
6892,G06003704309013,Los Angeles
6893,G06003704309021,Los Angeles
6894,G06003704309022,Los Angeles
6895,G06003704309023,Los Angeles
6896,G06003704310011,Los Angeles
6897,G06003704310012,Los Angeles
6898,G06003704310013,Los Angeles
6899,G06003704310014,Los Angeles
6900,G06003704310021,Los Angeles
6901,G06003704310022,Los Angeles
6902,G06003704311001,Los Angeles
6903,G06003704311002,Los Angeles
6904,G06003704311003,Los Angeles
6905,G06003704311004,Los Angeles
6906,G06003704311005,Los Angeles
6907,G06003704312001,Los Angeles
6908,G06003704312002,Los Angeles
6909,G06003704312003,Los Angeles
6910,G06003704312004,Los Angeles
6911,G06003704313001,Los Angeles
6912,G06003704313002,Los Angeles
6913,G06003704314001,Los Angeles
6914,G06003704314002,Los Angeles
6915,G06003704314003,Los Angeles
6916,G06003704314004,Los Angeles
6917,G06003704315011,Los Angeles
6918,G06003704315012,Los Angeles
6919,G06003704315013,Los Angeles
6920,G06003704315021,Los Angeles
6921,G06003704315022,Los Angeles
6922,G06003704315023,Los Angeles
6923,G06003704315024,Los Angeles
6924,G06003704316001,Los Angeles
6925,G06003704316002,Los Angeles
6926,G06003704316003,Los Angeles
6927,G06003704317001,Los Angeles
6928,G06003704317002,Los Angeles
6929,G06003704317003,Los Angeles
6930,G06003704317004,Los Angeles
6931,G06003704317005,Los Angeles
6932,G06003704318001,Los Angeles
6933,G06003704318002,Los Angeles
6934,G06003704318003,Los Angeles
6935,G06003704319001,Los Angeles
6936,G06003704319002,Los Angeles
6937,G06003704319003,Los Angeles
6938,G06003704320001,Los Angeles
6939,G06003704320002,Los Angeles
6940,G06003704320003,Los Angeles
6941,G06003704320004,Los Angeles
6942,G06003704320005,Los Angeles
6943,G06003704320006,Los Angeles
6944,G06003704321011,Los Angeles
6945,G06003704321012,Los Angeles
6946,G06003704321013,Los Angeles
6947,G06003704321021,Los Angeles
6948,G06003704321022,Los Angeles
6949,G06003704321023,Los Angeles
6950,G06003704321024,Los Angeles
6951,G06003704321025,Los Angeles
6952,G06003704322011,Los Angeles
6953,G06003704322012,Los Angeles
6954,G06003704322021,Los Angeles
6955,G06003704322022,Los Angeles
6956,G06003704322023,Los Angeles
6957,G06003704323001,Los Angeles
6958,G06003704323002,Los Angeles
6959,G06003704323003,Los Angeles
6960,G06003704324011,Los Angeles
6961,G06003704324012,Los Angeles
6962,G06003704324021,Los Angeles
6963,G06003704324022,Los Angeles
6964,G06003704324023,Los Angeles
6965,G06003704325001,Los Angeles
6966,G06003704325002,Los Angeles
6967,G06003704325003,Los Angeles
6968,G06003704325004,Los Angeles
6969,G06003704326011,Los Angeles
6970,G06003704326012,Los Angeles
6971,G06003704326013,Los Angeles
6972,G06003704326014,Los Angeles
6973,G06003704326021,Los Angeles
6974,G06003704326022,Los Angeles
6975,G06003704326023,Los Angeles
6976,G06003704327001,Los Angeles
6977,G06003704327002,Los Angeles
6978,G06003704327003,Los Angeles
6979,G06003704328011,Los Angeles
6980,G06003704328012,Los Angeles
6981,G06003704328021,Los Angeles
6982,G06003704328022,Los Angeles
6983,G06003704328023,Los Angeles
6984,G06003704329011,Los Angeles
6985,G06003704329012,Los Angeles
6986,G06003704329013,Los Angeles
6987,G06003704329021,Los Angeles
6988,G06003704329022,Los Angeles
6989,G06003704329023,Los Angeles
6990,G06003704331011,Los Angeles
6991,G06003704331012,Los Angeles
6992,G06003704331021,Los Angeles
6993,G06003704331022,Los Angeles
6994,G06003704332001,Los Angeles
6995,G06003704332002,Los Angeles
6996,G06003704332003,Los Angeles
6997,G06003704332004,Los Angeles
6998,G06003704333021,Los Angeles
6999,G06003704333041,Los Angeles
7000,G06003704333042,Los Angeles
7001,G06003704333051,Los Angeles
7002,G06003704333052,Los Angeles
7003,G06003704333061,Los Angeles
7004,G06003704333062,Los Angeles
7005,G06003704333063,Los Angeles
7006,G06003704333071,Los Angeles
7007,G06003704333072,Los Angeles
7008,G06003704333073,Los Angeles
7009,G06003704334011,Los Angeles
7010,G06003704334012,Los Angeles
7011,G06003704334021,Los Angeles
7012,G06003704334022,Los Angeles
7013,G06003704334031,Los Angeles
7014,G06003704334032,Los Angeles
7015,G06003704334033,Los Angeles
7016,G06003704335011,Los Angeles
7017,G06003704335031,Los Angeles
7018,G06003704335032,Los Angeles
7019,G06003704335041,Los Angeles
7020,G06003704335042,Los Angeles
7021,G06003704335043,Los Angeles
7022,G06003704336011,Los Angeles
7023,G06003704336012,Los Angeles
7024,G06003704336021,Los Angeles
7025,G06003704337001,Los Angeles
7026,G06003704337002,Los Angeles
7027,G06003704337003,Los Angeles
7028,G06003704338011,Los Angeles
7029,G06003704338012,Los Angeles
7030,G06003704338013,Los Angeles
7031,G06003704338014,Los Angeles
7032,G06003704338021,Los Angeles
7033,G06003704338022,Los Angeles
7034,G06003704339011,Los Angeles
7035,G06003704339012,Los Angeles
7036,G06003704339013,Los Angeles
7037,G06003704339021,Los Angeles
7038,G06003704339022,Los Angeles
7039,G06003704339023,Los Angeles
7040,G06003704340011,Los Angeles
7041,G06003704340012,Los Angeles
7042,G06003704340031,Los Angeles
7043,G06003704340032,Los Angeles
7044,G06003704340033,Los Angeles
7045,G06003704340041,Los Angeles
7046,G06003704340042,Los Angeles
7047,G06003704600001,Los Angeles
7048,G06003704600002,Los Angeles
7049,G06003704600003,Los Angeles
7050,G06003704600004,Los Angeles
7051,G06003704601001,Los Angeles
7052,G06003704601002,Los Angeles
7053,G06003704601003,Los Angeles
7054,G06003704601004,Los Angeles
7055,G06003704601005,Los Angeles
7056,G06003704602001,Los Angeles
7057,G06003704602002,Los Angeles
7058,G06003704602003,Los Angeles
7059,G06003704602004,Los Angeles
7060,G06003704602005,Los Angeles
7061,G06003704603011,Los Angeles
7062,G06003704603012,Los Angeles
7063,G06003704603013,Los Angeles
7064,G06003704603014,Los Angeles
7065,G06003704603021,Los Angeles
7066,G06003704603022,Los Angeles
7067,G06003704603023,Los Angeles
7068,G06003704603024,Los Angeles
7069,G06003704604011,Los Angeles
7070,G06003704604012,Los Angeles
7071,G06003704605011,Los Angeles
7072,G06003704605012,Los Angeles
7073,G06003704605013,Los Angeles
7074,G06003704605021,Los Angeles
7075,G06003704605022,Los Angeles
7076,G06003704605023,Los Angeles
7077,G06003704605024,Los Angeles
7078,G06003704605025,Los Angeles
7079,G06003704605026,Los Angeles
7080,G06003704606001,Los Angeles
7081,G06003704606002,Los Angeles
7082,G06003704606003,Los Angeles
7083,G06003704606004,Los Angeles
7084,G06003704607001,Los Angeles
7085,G06003704607002,Los Angeles
7086,G06003704607003,Los Angeles
7087,G06003704607004,Los Angeles
7088,G06003704607005,Los Angeles
7089,G06003704608001,Los Angeles
7090,G06003704608002,Los Angeles
7091,G06003704609001,Los Angeles
7092,G06003704609002,Los Angeles
7093,G06003704609003,Los Angeles
7094,G06003704609004,Los Angeles
7095,G06003704609005,Los Angeles
7096,G06003704610001,Los Angeles
7097,G06003704610002,Los Angeles
7098,G06003704610003,Los Angeles
7099,G06003704610004,Los Angeles
7100,G06003704611001,Los Angeles
7101,G06003704611002,Los Angeles
7102,G06003704611003,Los Angeles
7103,G06003704611004,Los Angeles
7104,G06003704612001,Los Angeles
7105,G06003704612002,Los Angeles
7106,G06003704612003,Los Angeles
7107,G06003704612004,Los Angeles
7108,G06003704613001,Los Angeles
7109,G06003704613002,Los Angeles
7110,G06003704613003,Los Angeles
7111,G06003704613004,Los Angeles
7112,G06003704613005,Los Angeles
7113,G06003704614001,Los Angeles
7114,G06003704614002,Los Angeles
7115,G06003704614003,Los Angeles
7116,G06003704615011,Los Angeles
7117,G06003704615012,Los Angeles
7118,G06003704615013,Los Angeles
7119,G06003704615021,Los Angeles
7120,G06003704615022,Los Angeles
7121,G06003704615023,Los Angeles
7122,G06003704615024,Los Angeles
7123,G06003704616001,Los Angeles
7124,G06003704616002,Los Angeles
7125,G06003704616003,Los Angeles
7126,G06003704616004,Los Angeles
7127,G06003704617001,Los Angeles
7128,G06003704617002,Los Angeles
7129,G06003704619011,Los Angeles
7130,G06003704619012,Los Angeles
7131,G06003704619013,Los Angeles
7132,G06003704619021,Los Angeles
7133,G06003704619022,Los Angeles
7134,G06003704620011,Los Angeles
7135,G06003704620012,Los Angeles
7136,G06003704620021,Los Angeles
7137,G06003704620022,Los Angeles
7138,G06003704620023,Los Angeles
7139,G06003704621001,Los Angeles
7140,G06003704621002,Los Angeles
7141,G06003704621003,Los Angeles
7142,G06003704622011,Los Angeles
7143,G06003704622012,Los Angeles
7144,G06003704622013,Los Angeles
7145,G06003704622021,Los Angeles
7146,G06003704622022,Los Angeles
7147,G06003704623011,Los Angeles
7148,G06003704623012,Los Angeles
7149,G06003704623013,Los Angeles
7150,G06003704623014,Los Angeles
7151,G06003704623021,Los Angeles
7152,G06003704623022,Los Angeles
7153,G06003704623023,Los Angeles
7154,G06003704624001,Los Angeles
7155,G06003704624002,Los Angeles
7156,G06003704624003,Los Angeles
7157,G06003704624004,Los Angeles
7158,G06003704625001,Los Angeles
7159,G06003704625002,Los Angeles
7160,G06003704625003,Los Angeles
7161,G06003704625004,Los Angeles
7162,G06003704626001,Los Angeles
7163,G06003704626002,Los Angeles
7164,G06003704627001,Los Angeles
7165,G06003704627002,Los Angeles
7166,G06003704627003,Los Angeles
7167,G06003704627004,Los Angeles
7168,G06003704627005,Los Angeles
7169,G06003704628001,Los Angeles
7170,G06003704628002,Los Angeles
7171,G06003704629001,Los Angeles
7172,G06003704629002,Los Angeles
7173,G06003704629003,Los Angeles
7174,G06003704630001,Los Angeles
7175,G06003704630002,Los Angeles
7176,G06003704631011,Los Angeles
7177,G06003704631012,Los Angeles
7178,G06003704631021,Los Angeles
7179,G06003704631022,Los Angeles
7180,G06003704631023,Los Angeles
7181,G06003704632001,Los Angeles
7182,G06003704632002,Los Angeles
7183,G06003704632003,Los Angeles
7184,G06003704633001,Los Angeles
7185,G06003704633002,Los Angeles
7186,G06003704634001,Los Angeles
7187,G06003704634002,Los Angeles
7188,G06003704634003,Los Angeles
7189,G06003704634004,Los Angeles
7190,G06003704635001,Los Angeles
7191,G06003704635002,Los Angeles
7192,G06003704635003,Los Angeles
7193,G06003704636011,Los Angeles
7194,G06003704636012,Los Angeles
7195,G06003704636013,Los Angeles
7196,G06003704636014,Los Angeles
7197,G06003704636021,Los Angeles
7198,G06003704636022,Los Angeles
7199,G06003704636023,Los Angeles
7200,G06003704636024,Los Angeles
7201,G06003704637001,Los Angeles
7202,G06003704637002,Los Angeles
7203,G06003704638001,Los Angeles
7204,G06003704638002,Los Angeles
7205,G06003704638003,Los Angeles
7206,G06003704638004,Los Angeles
7207,G06003704639001,Los Angeles
7208,G06003704639002,Los Angeles
7209,G06003704639003,Los Angeles
7210,G06003704640001,Los Angeles
7211,G06003704640002,Los Angeles
7212,G06003704640003,Los Angeles
7213,G06003704640004,Los Angeles
7214,G06003704640005,Los Angeles
7215,G06003704641001,Los Angeles
7216,G06003704641002,Los Angeles
7217,G06003704641003,Los Angeles
7218,G06003704641004,Los Angeles
7219,G06003704641005,Los Angeles
7220,G06003704641006,Los Angeles
7221,G06003704641007,Los Angeles
7222,G06003704642001,Los Angeles
7223,G06003704642002,Los Angeles
7224,G06003704642003,Los Angeles
7225,G06003704642004,Los Angeles
7226,G06003704642005,Los Angeles
7227,G06003704642006,Los Angeles
7228,G06003704800021,Los Angeles
7229,G06003704800022,Los Angeles
7230,G06003704800023,Los Angeles
7231,G06003704800111,Los Angeles
7232,G06003704800112,Los Angeles
7233,G06003704800121,Los Angeles
7234,G06003704800122,Los Angeles
7235,G06003704800123,Los Angeles
7236,G06003704800124,Los Angeles
7237,G06003704801011,Los Angeles
7238,G06003704801012,Los Angeles
7239,G06003704801013,Los Angeles
7240,G06003704801021,Los Angeles
7241,G06003704801022,Los Angeles
7242,G06003704801023,Los Angeles
7243,G06003704802011,Los Angeles
7244,G06003704802012,Los Angeles
7245,G06003704802013,Los Angeles
7246,G06003704802021,Los Angeles
7247,G06003704802022,Los Angeles
7248,G06003704802023,Los Angeles
7249,G06003704803021,Los Angeles
7250,G06003704803022,Los Angeles
7251,G06003704803023,Los Angeles
7252,G06003704803031,Los Angeles
7253,G06003704803032,Los Angeles
7254,G06003704803041,Los Angeles
7255,G06003704803042,Los Angeles
7256,G06003704803043,Los Angeles
7257,G06003704804001,Los Angeles
7258,G06003704804002,Los Angeles
7259,G06003704804003,Los Angeles
7260,G06003704805001,Los Angeles
7261,G06003704805002,Los Angeles
7262,G06003704805003,Los Angeles
7263,G06003704805004,Los Angeles
7264,G06003704806001,Los Angeles
7265,G06003704806002,Los Angeles
7266,G06003704806003,Los Angeles
7267,G06003704806004,Los Angeles
7268,G06003704806005,Los Angeles
7269,G06003704806006,Los Angeles
7270,G06003704807021,Los Angeles
7271,G06003704807022,Los Angeles
7272,G06003704807031,Los Angeles
7273,G06003704807032,Los Angeles
7274,G06003704807033,Los Angeles
7275,G06003704807041,Los Angeles
7276,G06003704807042,Los Angeles
7277,G06003704808021,Los Angeles
7278,G06003704808022,Los Angeles
7279,G06003704808031,Los Angeles
7280,G06003704808032,Los Angeles
7281,G06003704808033,Los Angeles
7282,G06003704808034,Los Angeles
7283,G06003704808041,Los Angeles
7284,G06003704808042,Los Angeles
7285,G06003704809011,Los Angeles
7286,G06003704809012,Los Angeles
7287,G06003704809021,Los Angeles
7288,G06003704809022,Los Angeles
7289,G06003704809031,Los Angeles
7290,G06003704810011,Los Angeles
7291,G06003704810012,Los Angeles
7292,G06003704810013,Los Angeles
7293,G06003704810021,Los Angeles
7294,G06003704810022,Los Angeles
7295,G06003704810023,Los Angeles
7296,G06003704811011,Los Angeles
7297,G06003704811012,Los Angeles
7298,G06003704811021,Los Angeles
7299,G06003704811022,Los Angeles
7300,G06003704811023,Los Angeles
7301,G06003704811031,Los Angeles
7302,G06003704811032,Los Angeles
7303,G06003704811033,Los Angeles
7304,G06003704811034,Los Angeles
7305,G06003704811035,Los Angeles
7306,G06003704812011,Los Angeles
7307,G06003704812012,Los Angeles
7308,G06003704812013,Los Angeles
7309,G06003704812021,Los Angeles
7310,G06003704812022,Los Angeles
7311,G06003704812023,Los Angeles
7312,G06003704813001,Los Angeles
7313,G06003704813002,Los Angeles
7314,G06003704814011,Los Angeles
7315,G06003704814012,Los Angeles
7316,G06003704814013,Los Angeles
7317,G06003704814021,Los Angeles
7318,G06003704814022,Los Angeles
7319,G06003704814023,Los Angeles
7320,G06003704814024,Los Angeles
7321,G06003704814025,Los Angeles
7322,G06003704814026,Los Angeles
7323,G06003704815001,Los Angeles
7324,G06003704815002,Los Angeles
7325,G06003704815003,Los Angeles
7326,G06003704815004,Los Angeles
7327,G06003704816031,Los Angeles
7328,G06003704816032,Los Angeles
7329,G06003704816041,Los Angeles
7330,G06003704816042,Los Angeles
7331,G06003704816051,Los Angeles
7332,G06003704816052,Los Angeles
7333,G06003704816053,Los Angeles
7334,G06003704816061,Los Angeles
7335,G06003704816062,Los Angeles
7336,G06003704816063,Los Angeles
7337,G06003704817111,Los Angeles
7338,G06003704817112,Los Angeles
7339,G06003704817121,Los Angeles
7340,G06003704817122,Los Angeles
7341,G06003704817131,Los Angeles
7342,G06003704817132,Los Angeles
7343,G06003704817141,Los Angeles
7344,G06003704817142,Los Angeles
7345,G06003704818001,Los Angeles
7346,G06003704818002,Los Angeles
7347,G06003704818003,Los Angeles
7348,G06003704819011,Los Angeles
7349,G06003704819012,Los Angeles
7350,G06003704819013,Los Angeles
7351,G06003704819014,Los Angeles
7352,G06003704819021,Los Angeles
7353,G06003704820011,Los Angeles
7354,G06003704820012,Los Angeles
7355,G06003704820021,Los Angeles
7356,G06003704820022,Los Angeles
7357,G06003704820023,Los Angeles
7358,G06003704820024,Los Angeles
7359,G06003704821011,Los Angeles
7360,G06003704821012,Los Angeles
7361,G06003704821013,Los Angeles
7362,G06003704821021,Los Angeles
7363,G06003704821022,Los Angeles
7364,G06003704822011,Los Angeles
7365,G06003704822012,Los Angeles
7366,G06003704822013,Los Angeles
7367,G06003704822021,Los Angeles
7368,G06003704822022,Los Angeles
7369,G06003704822023,Los Angeles
7370,G06003704823011,Los Angeles
7371,G06003704823012,Los Angeles
7372,G06003704823013,Los Angeles
7373,G06003704823014,Los Angeles
7374,G06003704823015,Los Angeles
7375,G06003704823031,Los Angeles
7376,G06003704823032,Los Angeles
7377,G06003704823033,Los Angeles
7378,G06003704823041,Los Angeles
7379,G06003704823042,Los Angeles
7380,G06003704824011,Los Angeles
7381,G06003704824012,Los Angeles
7382,G06003704824013,Los Angeles
7383,G06003704824021,Los Angeles
7384,G06003704824022,Los Angeles
7385,G06003704825021,Los Angeles
7386,G06003704825022,Los Angeles
7387,G06003704825031,Los Angeles
7388,G06003704825032,Los Angeles
7389,G06003704825211,Los Angeles
7390,G06003704825212,Los Angeles
7391,G06003704825213,Los Angeles
7392,G06003704825221,Los Angeles
7393,G06003704825222,Los Angeles
7394,G06003704825223,Los Angeles
7395,G06003704826001,Los Angeles
7396,G06003704826002,Los Angeles
7397,G06003704826003,Los Angeles
7398,G06003704826004,Los Angeles
7399,G06003704827011,Los Angeles
7400,G06003704827012,Los Angeles
7401,G06003704827013,Los Angeles
7402,G06003704827014,Los Angeles
7403,G06003704827021,Los Angeles
7404,G06003704827022,Los Angeles
7405,G06003704828001,Los Angeles
7406,G06003704828002,Los Angeles
7407,G06003704828003,Los Angeles
7408,G06003705001001,Los Angeles
7409,G06003705001002,Los Angeles
7410,G06003705001003,Los Angeles
7411,G06003705002011,Los Angeles
7412,G06003705002012,Los Angeles
7413,G06003705002013,Los Angeles
7414,G06003705002021,Los Angeles
7415,G06003705002022,Los Angeles
7416,G06003705002023,Los Angeles
7417,G06003705002024,Los Angeles
7418,G06003705002025,Los Angeles
7419,G06003705003001,Los Angeles
7420,G06003705004021,Los Angeles
7421,G06003705004022,Los Angeles
7422,G06003705004023,Los Angeles
7423,G06003705004031,Los Angeles
7424,G06003705004032,Los Angeles
7425,G06003705004041,Los Angeles
7426,G06003705004042,Los Angeles
7427,G06003705004043,Los Angeles
7428,G06003705004044,Los Angeles
7429,G06003705005001,Los Angeles
7430,G06003705006001,Los Angeles
7431,G06003705006002,Los Angeles
7432,G06003705006003,Los Angeles
7433,G06003705006004,Los Angeles
7434,G06003705006005,Los Angeles
7435,G06003705007001,Los Angeles
7436,G06003705007002,Los Angeles
7437,G06003705007003,Los Angeles
7438,G06003705007004,Los Angeles
7439,G06003705007005,Los Angeles
7440,G06003705007006,Los Angeles
7441,G06003705008001,Los Angeles
7442,G06003705008002,Los Angeles
7443,G06003705008003,Los Angeles
7444,G06003705008004,Los Angeles
7445,G06003705009001,Los Angeles
7446,G06003705009002,Los Angeles
7447,G06003705009003,Los Angeles
7448,G06003705009004,Los Angeles
7449,G06003705010011,Los Angeles
7450,G06003705010012,Los Angeles
7451,G06003705010013,Los Angeles
7452,G06003705010021,Los Angeles
7453,G06003705010022,Los Angeles
7454,G06003705010023,Los Angeles
7455,G06003705010024,Los Angeles
7456,G06003705010025,Los Angeles
7457,G06003705012001,Los Angeles
7458,G06003705012002,Los Angeles
7459,G06003705013001,Los Angeles
7460,G06003705013002,Los Angeles
7461,G06003705013003,Los Angeles
7462,G06003705013004,Los Angeles
7463,G06003705013005,Los Angeles
7464,G06003705013006,Los Angeles
7465,G06003705014001,Los Angeles
7466,G06003705014002,Los Angeles
7467,G06003705014003,Los Angeles
7468,G06003705015011,Los Angeles
7469,G06003705015031,Los Angeles
7470,G06003705015032,Los Angeles
7471,G06003705015033,Los Angeles
7472,G06003705015034,Los Angeles
7473,G06003705015041,Los Angeles
7474,G06003705015042,Los Angeles
7475,G06003705015043,Los Angeles
7476,G06003705016001,Los Angeles
7477,G06003705016002,Los Angeles
7478,G06003705016003,Los Angeles
7479,G06003705016004,Los Angeles
7480,G06003705016005,Los Angeles
7481,G06003705017001,Los Angeles
7482,G06003705017002,Los Angeles
7483,G06003705017003,Los Angeles
7484,G06003705017004,Los Angeles
7485,G06003705018021,Los Angeles
7486,G06003705018022,Los Angeles
7487,G06003705018023,Los Angeles
7488,G06003705018031,Los Angeles
7489,G06003705018032,Los Angeles
7490,G06003705018041,Los Angeles
7491,G06003705018042,Los Angeles
7492,G06003705019001,Los Angeles
7493,G06003705019002,Los Angeles
7494,G06003705019003,Los Angeles
7495,G06003705019004,Los Angeles
7496,G06003705020031,Los Angeles
7497,G06003705020032,Los Angeles
7498,G06003705020041,Los Angeles
7499,G06003705020042,Los Angeles
7500,G06003705020051,Los Angeles
7501,G06003705020052,Los Angeles
7502,G06003705020053,Los Angeles
7503,G06003705021001,Los Angeles
7504,G06003705021002,Los Angeles
7505,G06003705021003,Los Angeles
7506,G06003705022001,Los Angeles
7507,G06003705022002,Los Angeles
7508,G06003705022003,Los Angeles
7509,G06003705022004,Los Angeles
7510,G06003705022005,Los Angeles
7511,G06003705023011,Los Angeles
7512,G06003705023012,Los Angeles
7513,G06003705023013,Los Angeles
7514,G06003705023014,Los Angeles
7515,G06003705023015,Los Angeles
7516,G06003705023021,Los Angeles
7517,G06003705024011,Los Angeles
7518,G06003705024012,Los Angeles
7519,G06003705024013,Los Angeles
7520,G06003705024021,Los Angeles
7521,G06003705024022,Los Angeles
7522,G06003705024023,Los Angeles
7523,G06003705025001,Los Angeles
7524,G06003705025002,Los Angeles
7525,G06003705026011,Los Angeles
7526,G06003705026012,Los Angeles
7527,G06003705026013,Los Angeles
7528,G06003705026014,Los Angeles
7529,G06003705026015,Los Angeles
7530,G06003705026021,Los Angeles
7531,G06003705026022,Los Angeles
7532,G06003705026023,Los Angeles
7533,G06003705027001,Los Angeles
7534,G06003705027002,Los Angeles
