OID_,GISJOIN,REGION
212,G06000104070005,Bay Area
213,G06000104071011,Bay Area
214,G06000104071012,Bay Area
215,G06000104071021,Bay Area
216,G06000104071022,Bay Area
217,G06000104071023,Bay Area
218,G06000104071024,Bay Area
219,G06000104072001,Bay Area
220,G06000104072002,Bay Area
221,G06000104072003,Bay Area
222,G06000104072004,Bay Area
223,G06000104073001,Bay Area
224,G06000104073002,Bay Area
225,G06000104074001,Bay Area
226,G06000104074002,Bay Area
227,G06000104074003,Bay Area
228,G06000104075001,Bay Area
229,G06000104075002,Bay Area
230,G06000104075003,Bay Area
231,G06000104076001,Bay Area
232,G06000104076002,Bay Area
233,G06000104076003,Bay Area
234,G06000104076004,Bay Area
235,G06000104076005,Bay Area
236,G06000104077001,Bay Area
237,G06000104077002,Bay Area
238,G06000104077003,Bay Area
239,G06000104077004,Bay Area
240,G06000104078001,Bay Area
241,G06000104078002,Bay Area
242,G06000104078003,Bay Area
243,G06000104079001,Bay Area
244,G06000104079002,Bay Area
245,G06000104079003,Bay Area
246,G06000104080001,Bay Area
247,G06000104080002,Bay Area
248,G06000104081001,Bay Area
249,G06000104081002,Bay Area
250,G06000104081003,Bay Area
251,G06000104081004,Bay Area
252,G06000104082001,Bay Area
253,G06000104082002,Bay Area
254,G06000104082003,Bay Area
255,G06000104083001,Bay Area
256,G06000104083002,Bay Area
257,G06000104083003,Bay Area
258,G06000104083004,Bay Area
259,G06000104083005,Bay Area
260,G06000104084001,Bay Area
261,G06000104084002,Bay Area
262,G06000104084003,Bay Area
263,G06000104085001,Bay Area
264,G06000104085002,Bay Area
265,G06000104085003,Bay Area
266,G06000104085004,Bay Area
267,G06000104085005,Bay Area
268,G06000104086001,Bay Area
269,G06000104086002,Bay Area
270,G06000104086003,Bay Area
271,G06000104086004,Bay Area
272,G06000104087001,Bay Area
273,G06000104087002,Bay Area
274,G06000104087003,Bay Area
275,G06000104087004,Bay Area
276,G06000104087005,Bay Area
277,G06000104087006,Bay Area
278,G06000104088001,Bay Area
279,G06000104088002,Bay Area
280,G06000104088003,Bay Area
281,G06000104088004,Bay Area
282,G06000104089001,Bay Area
283,G06000104089002,Bay Area
284,G06000104090001,Bay Area
285,G06000104090002,Bay Area
286,G06000104090003,Bay Area
287,G06000104090004,Bay Area
288,G06000104091001,Bay Area
289,G06000104091002,Bay Area
290,G06000104092001,Bay Area
291,G06000104092002,Bay Area
292,G06000104093001,Bay Area
293,G06000104093002,Bay Area
294,G06000104093003,Bay Area
295,G06000104093004,Bay Area
296,G06000104094001,Bay Area
297,G06000104094002,Bay Area
298,G06000104094003,Bay Area
299,G06000104095001,Bay Area
300,G06000104095002,Bay Area
301,G06000104095003,Bay Area
302,G06000104096001,Bay Area
303,G06000104096002,Bay Area
304,G06000104096003,Bay Area
305,G06000104096004,Bay Area
306,G06000104096005,Bay Area
307,G06000104097001,Bay Area
308,G06000104097002,Bay Area
309,G06000104097003,Bay Area
310,G06000104097004,Bay Area
311,G06000104098001,Bay Area
312,G06000104098002,Bay Area
313,G06000104098003,Bay Area
314,G06000104099001,Bay Area
315,G06000104099002,Bay Area
316,G06000104099003,Bay Area
317,G06000104099004,Bay Area
318,G06000104100001,Bay Area
319,G06000104100002,Bay Area
320,G06000104100003,Bay Area
321,G06000104101001,Bay Area
322,G06000104101002,Bay Area
323,G06000104102001,Bay Area
324,G06000104102002,Bay Area
325,G06000104102003,Bay Area
326,G06000104103001,Bay Area
327,G06000104103002,Bay Area
328,G06000104103003,Bay Area
329,G06000104104001,Bay Area
330,G06000104104002,Bay Area
331,G06000104104003,Bay Area
332,G06000104105001,Bay Area
333,G06000104201001,Bay Area
334,G06000104201002,Bay Area
335,G06000104201003,Bay Area
336,G06000104202001,Bay Area
337,G06000104202002,Bay Area
338,G06000104202003,Bay Area
339,G06000104203001,Bay Area
340,G06000104203002,Bay Area
341,G06000104203003,Bay Area
342,G06000104204001,Bay Area
343,G06000104205001,Bay Area
344,G06000104205002,Bay Area
345,G06000104206001,Bay Area
346,G06000104206002,Bay Area
347,G06000104206003,Bay Area
348,G06000104211001,Bay Area
349,G06000104211002,Bay Area
350,G06000104212001,Bay Area
351,G06000104212002,Bay Area
352,G06000104212003,Bay Area
353,G06000104212004,Bay Area
354,G06000104213001,Bay Area
355,G06000104213002,Bay Area
356,G06000104213003,Bay Area
357,G06000104213004,Bay Area
358,G06000104214001,Bay Area
359,G06000104214002,Bay Area
360,G06000104215001,Bay Area
361,G06000104215002,Bay Area
362,G06000104215003,Bay Area
363,G06000104216001,Bay Area
364,G06000104216002,Bay Area
365,G06000104216003,Bay Area
366,G06000104216004,Bay Area
367,G06000104217001,Bay Area
368,G06000104217002,Bay Area
369,G06000104217003,Bay Area
370,G06000104218001,Bay Area
371,G06000104218002,Bay Area
372,G06000104219001,Bay Area
373,G06000104219002,Bay Area
374,G06000104219003,Bay Area
375,G06000104219004,Bay Area
376,G06000104220001,Bay Area
377,G06000104220002,Bay Area
378,G06000104221001,Bay Area
379,G06000104221002,Bay Area
380,G06000104222001,Bay Area
381,G06000104222002,Bay Area
382,G06000104222003,Bay Area
383,G06000104223001,Bay Area
384,G06000104223002,Bay Area
385,G06000104223003,Bay Area
386,G06000104224001,Bay Area
387,G06000104224002,Bay Area
388,G06000104224003,Bay Area
389,G06000104225001,Bay Area
390,G06000104225002,Bay Area
391,G06000104225003,Bay Area
392,G06000104226001,Bay Area
393,G06000104227001,Bay Area
394,G06000104227002,Bay Area
395,G06000104227003,Bay Area
396,G06000104228001,Bay Area
397,G06000104228002,Bay Area
398,G06000104228003,Bay Area
399,G06000104229001,Bay Area
400,G06000104229002,Bay Area
401,G06000104230001,Bay Area
402,G06000104230002,Bay Area
403,G06000104230003,Bay Area
404,G06000104231001,Bay Area
405,G06000104231002,Bay Area
406,G06000104231003,Bay Area
407,G06000104231004,Bay Area
408,G06000104232001,Bay Area
409,G06000104232002,Bay Area
410,G06000104233001,Bay Area
411,G06000104233002,Bay Area
412,G06000104233003,Bay Area
413,G06000104234001,Bay Area
414,G06000104234002,Bay Area
415,G06000104234003,Bay Area
416,G06000104234004,Bay Area
417,G06000104235001,Bay Area
418,G06000104235002,Bay Area
419,G06000104235003,Bay Area
420,G06000104236011,Bay Area
421,G06000104236012,Bay Area
422,G06000104236021,Bay Area
423,G06000104236022,Bay Area
424,G06000104236023,Bay Area
425,G06000104237001,Bay Area
426,G06000104237002,Bay Area
427,G06000104237003,Bay Area
428,G06000104238001,Bay Area
429,G06000104238002,Bay Area
430,G06000104238003,Bay Area
431,G06000104239011,Bay Area
432,G06000104239012,Bay Area
433,G06000104239021,Bay Area
434,G06000104239022,Bay Area
435,G06000104240011,Bay Area
436,G06000104240012,Bay Area
437,G06000104240013,Bay Area
438,G06000104240014,Bay Area
439,G06000104240021,Bay Area
440,G06000104240022,Bay Area
441,G06000104251011,Bay Area
442,G06000104251012,Bay Area
443,G06000104251021,Bay Area
444,G06000104251022,Bay Area
445,G06000104251023,Bay Area
446,G06000104251031,Bay Area
447,G06000104251032,Bay Area
448,G06000104251033,Bay Area
449,G06000104251041,Bay Area
450,G06000104251042,Bay Area
451,G06000104261001,Bay Area
452,G06000104261002,Bay Area
453,G06000104261003,Bay Area
454,G06000104261004,Bay Area
455,G06000104261005,Bay Area
456,G06000104261006,Bay Area
457,G06000104262001,Bay Area
458,G06000104262002,Bay Area
459,G06000104262003,Bay Area
460,G06000104271001,Bay Area
461,G06000104271002,Bay Area
462,G06000104271003,Bay Area
463,G06000104272001,Bay Area
464,G06000104272002,Bay Area
465,G06000104272003,Bay Area
466,G06000104272004,Bay Area
467,G06000104272005,Bay Area
468,G06000104273001,Bay Area
469,G06000104273002,Bay Area
470,G06000104273003,Bay Area
471,G06000104273004,Bay Area
472,G06000104273005,Bay Area
473,G06000104276001,Bay Area
474,G06000104276002,Bay Area
475,G06000104276003,Bay Area
476,G06000104277001,Bay Area
477,G06000104277002,Bay Area
478,G06000104277003,Bay Area
479,G06000104277004,Bay Area
480,G06000104278001,Bay Area
481,G06000104278002,Bay Area
482,G06000104278003,Bay Area
483,G06000104278004,Bay Area
484,G06000104278005,Bay Area
485,G06000104279001,Bay Area
486,G06000104279002,Bay Area
487,G06000104279003,Bay Area
488,G06000104279004,Bay Area
489,G06000104279005,Bay Area
490,G06000104280001,Bay Area
491,G06000104280002,Bay Area
492,G06000104281001,Bay Area
493,G06000104281002,Bay Area
494,G06000104281003,Bay Area
495,G06000104281004,Bay Area
496,G06000104282001,Bay Area
497,G06000104282002,Bay Area
498,G06000104282003,Bay Area
499,G06000104282004,Bay Area
500,G06000104282005,Bay Area
501,G06000104283011,Bay Area
502,G06000104283012,Bay Area
503,G06000104283013,Bay Area
504,G06000104283014,Bay Area
505,G06000104283021,Bay Area
506,G06000104283022,Bay Area
507,G06000104283023,Bay Area
508,G06000104284001,Bay Area
509,G06000104284002,Bay Area
510,G06000104284003,Bay Area
511,G06000104285001,Bay Area
512,G06000104285002,Bay Area
513,G06000104286001,Bay Area
514,G06000104286002,Bay Area
515,G06000104286003,Bay Area
516,G06000104287001,Bay Area
517,G06000104287002,Bay Area
518,G06000104301011,Bay Area
519,G06000104301012,Bay Area
520,G06000104301013,Bay Area
521,G06000104301021,Bay Area
522,G06000104302001,Bay Area
523,G06000104302002,Bay Area
524,G06000104302003,Bay Area
525,G06000104302004,Bay Area
526,G06000104302005,Bay Area
527,G06000104303001,Bay Area
528,G06000104303002,Bay Area
529,G06000104303003,Bay Area
530,G06000104304001,Bay Area
531,G06000104304002,Bay Area
532,G06000104305001,Bay Area
533,G06000104305002,Bay Area
534,G06000104305003,Bay Area
535,G06000104306001,Bay Area
536,G06000104306002,Bay Area
537,G06000104306003,Bay Area
538,G06000104306004,Bay Area
539,G06000104307001,Bay Area
540,G06000104307002,Bay Area
541,G06000104307003,Bay Area
542,G06000104308001,Bay Area
543,G06000104308002,Bay Area
544,G06000104308003,Bay Area
545,G06000104308004,Bay Area
546,G06000104309001,Bay Area
547,G06000104309002,Bay Area
548,G06000104310001,Bay Area
549,G06000104310002,Bay Area
550,G06000104311001,Bay Area
551,G06000104311002,Bay Area
552,G06000104312001,Bay Area
553,G06000104312002,Bay Area
554,G06000104312003,Bay Area
555,G06000104321001,Bay Area
556,G06000104321002,Bay Area
557,G06000104321003,Bay Area
558,G06000104322001,Bay Area
559,G06000104322002,Bay Area
560,G06000104322003,Bay Area
561,G06000104323001,Bay Area
562,G06000104323002,Bay Area
563,G06000104323003,Bay Area
564,G06000104324001,Bay Area
565,G06000104324002,Bay Area
566,G06000104324003,Bay Area
567,G06000104325011,Bay Area
568,G06000104325012,Bay Area
569,G06000104325013,Bay Area
570,G06000104325021,Bay Area
571,G06000104325022,Bay Area
572,G06000104325023,Bay Area
573,G06000104326001,Bay Area
574,G06000104326002,Bay Area
575,G06000104326003,Bay Area
576,G06000104326004,Bay Area
577,G06000104326005,Bay Area
578,G06000104327001,Bay Area
579,G06000104327002,Bay Area
580,G06000104327003,Bay Area
581,G06000104328001,Bay Area
582,G06000104328002,Bay Area
583,G06000104328003,Bay Area
584,G06000104330001,Bay Area
585,G06000104330002,Bay Area
586,G06000104330003,Bay Area
587,G06000104330004,Bay Area
588,G06000104331021,Bay Area
589,G06000104331022,Bay Area
590,G06000104331031,Bay Area
591,G06000104331032,Bay Area
592,G06000104331041,Bay Area
593,G06000104331042,Bay Area
594,G06000104331043,Bay Area
595,G06000104332001,Bay Area
596,G06000104332002,Bay Area
597,G06000104332003,Bay Area
598,G06000104332004,Bay Area
599,G06000104333001,Bay Area
600,G06000104333002,Bay Area
601,G06000104333003,Bay Area
602,G06000104333004,Bay Area
603,G06000104333005,Bay Area
604,G06000104334001,Bay Area
605,G06000104334002,Bay Area
606,G06000104334003,Bay Area
607,G06000104334004,Bay Area
608,G06000104334005,Bay Area
609,G06000104334006,Bay Area
610,G06000104335001,Bay Area
611,G06000104335002,Bay Area
612,G06000104335003,Bay Area
613,G06000104335004,Bay Area
614,G06000104336001,Bay Area
615,G06000104336002,Bay Area
616,G06000104336003,Bay Area
617,G06000104336004,Bay Area
618,G06000104337001,Bay Area
619,G06000104337002,Bay Area
620,G06000104337003,Bay Area
