,GISJOIN,BLOCKGROUPPOP19,BLOCKGROUPHH19,PCT_LESSHS,PCT_UNEMP,PCT_RENT,PCT_LINGISO,PCT_POV,RATE_ASTH,RATE_LBW,RATE_CVD,SCORE_CI_TRACT,SCORE_PCTL_CI_TRACT,SCORE_POLLUT,SCORE_PCTL_POLLUT
0,G06000104001001,3120,1293,0.0326823435631726,0.031484257871064465,0.110595514307811,0.0116009280742459,0.104227170054856,15.65,3.85,5.24,4.847987985,2.798789713,4.153680516,26.62103298
1,G06000104002001,990,422,0.0,0.026582278481012658,0.270142180094787,0.0,0.0767676767676768,20.47,4.05,8.14,4.882107463,2.874432678,4.032105695,24.18170504
2,G06000104002002,1017,425,0.0085158150851581,0.018518518518518517,0.489411764705882,0.0,0.135458167330677,20.47,4.05,8.14,4.882107463,2.874432678,4.032105695,24.18170504
3,G06000104003001,1134,405,0.0,0.04567307692307692,0.348148148148148,0.0,0.0220458553791887,30.88,3.78,8.88,11.20424446,15.93545134,4.473428812,33.36652147
4,G06000104003002,1237,697,0.0928433268858801,0.05460750853242321,0.703012912482066,0.0,0.0985797827903091,30.88,3.78,8.88,11.20424446,15.93545134,4.473428812,33.36652147
5,G06000104003003,1136,629,0.0729281767955801,0.010515247108307046,0.769475357710652,0.286168521462639,0.174295774647887,30.88,3.78,8.88,11.20424446,15.93545134,4.473428812,33.36652147
6,G06000104003004,1544,710,0.0494208494208494,0.014105419450631032,0.43943661971831,0.0211267605633803,0.113341968911917,30.88,3.78,8.88,11.20424446,15.93545134,4.473428812,33.36652147
7,G06000104004001,1749,804,0.0398230088495575,0.0,0.558457711442786,0.0,0.220125786163522,49.61,4.44,8.08,12.3901903,18.97377711,4.128923809,26.23522091
8,G06000104004002,884,459,0.0360610263522885,0.02056555269922879,0.607843137254902,0.0130718954248366,0.287173666288309,49.61,4.44,8.08,12.3901903,18.97377711,4.128923809,26.23522091
9,G06000104004003,1374,539,0.0675808031341822,0.04793863854266539,0.623376623376623,0.0204081632653061,0.149560117302053,49.61,4.44,8.08,12.3901903,18.97377711,4.128923809,26.23522091
10,G06000104005001,2708,1110,0.0256410256410256,0.03237250554323725,0.661261261261261,0.0252252252252252,0.238661710037175,86.56999999999998,3.64,11.13,16.73473078,29.74029249,4.380559801,31.40012446
11,G06000104005002,833,265,0.0173913043478261,0.019151846785225718,0.381132075471698,0.0,0.154861944777911,86.56999999999998,3.64,11.13,16.73473078,29.74029249,4.380559801,31.40012446
12,G06000104005003,583,231,0.0196078431372549,0.03558718861209965,0.575757575757576,0.0,0.217838765008576,86.56999999999998,3.64,11.13,16.73473078,29.74029249,4.380559801,31.40012446
13,G06000104006001,1085,426,0.0323383084577114,0.08229166666666667,0.626760563380282,0.0,0.199078341013825,101.53,2.56,12.8,20.02431544,37.59455371,4.622308506,36.93839452
14,G06000104006002,660,247,0.0213675213675214,0.028622540250447227,0.489878542510121,0.0283400809716599,0.0954545454545455,101.53,2.56,12.8,20.02431544,37.59455371,4.622308506,36.93839452
15,G06000104007001,1128,563,0.0,0.06699507389162561,0.603907637655417,0.0461811722912966,0.224290780141844,104.19,5.6,10.63,36.7124237,70.13363591,5.72270699,61.82949596
16,G06000104007002,1557,552,0.0114854517611026,0.08411892675852067,0.518115942028985,0.0,0.423892100192678,104.19,5.6,10.63,36.7124237,70.13363591,5.72270699,61.82949596
17,G06000104007003,1328,399,0.170948616600791,0.028293545534924844,0.664160401002506,0.0852130325814536,0.330572289156627,104.19,5.6,10.63,36.7124237,70.13363591,5.72270699,61.82949596
18,G06000104007004,1115,437,0.0864928909952607,0.028662420382165606,0.759725400457666,0.0755148741418764,0.315266485998193,104.19,5.6,10.63,36.7124237,70.13363591,5.72270699,61.82949596
19,G06000104008001,1481,706,0.0172131147540984,0.016679904686258934,0.645892351274788,0.0254957507082153,0.285617825793383,116.58,7.44,10.99,37.09720122,70.71356531,5.920771435,66.44679527
20,G06000104008002,1131,399,0.0886766712141883,0.03803131991051454,0.784461152882206,0.025062656641604,0.435013262599469,116.58,7.44,10.99,37.09720122,70.71356531,5.920771435,66.44679527
21,G06000104008003,1457,547,0.0736754966887417,0.07049808429118774,0.393053016453382,0.0237659963436929,0.3761153054221,116.58,7.44,10.99,37.09720122,70.71356531,5.920771435,66.44679527
22,G06000104009001,1396,616,0.105210420841683,0.07188940092165899,0.641233766233766,0.167207792207792,0.288343558282209,119.2,7.89,11.18,40.70603642,76.14725163999998,5.917234021,66.40945862
23,G06000104009002,1075,462,0.0692951015531661,0.008438818565400843,0.645021645021645,0.0173160173160173,0.273488372093023,119.2,7.89,11.18,40.70603642,76.14725163999998,5.917234021,66.40945862
24,G06000104010001,899,365,0.259938837920489,0.14121037463976946,0.838356164383562,0.282191780821918,0.492769744160178,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
25,G06000104010002,979,387,0.175879396984925,0.03415783274440518,0.532299741602067,0.0,0.127681307456588,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
26,G06000104010003,1525,613,0.0706168831168831,0.03360116873630387,0.487765089722675,0.0195758564437194,0.114098360655738,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
27,G06000104010004,809,345,0.220183486238532,0.0,0.646376811594203,0.185507246376812,0.245982694684796,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
28,G06000104010005,1165,407,0.263464337700146,0.03423236514522822,0.862407862407862,0.0540540540540541,0.377911993097498,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
29,G06000104010006,756,353,0.0,0.0,0.651558073654391,0.0,0.365079365079365,92.46,6.9,9.31,43.7367454,80.40847200999998,6.682051618,81.82949596
30,G06000104011001,446,204,0.0681818181818182,0.03389830508474576,0.504901960784314,0.0490196078431373,0.132286995515695,101.46,6.62,12.79,32.92660505,63.85526979,5.498996414,56.80149347
31,G06000104011002,1547,920,0.0,0.05890909090909091,0.878260869565217,0.0489130434782609,0.279896574014221,101.46,6.62,12.79,32.92660505,63.85526979,5.498996414,56.80149347
32,G06000104011003,958,362,0.127791563275434,0.019165727170236752,0.654696132596685,0.0,0.338204592901879,101.46,6.62,12.79,32.92660505,63.85526979,5.498996414,56.80149347
33,G06000104011004,1336,585,0.103763987792472,0.0069504778453518675,0.861538461538462,0.0307692307692308,0.319610778443114,101.46,6.62,12.79,32.92660505,63.85526979,5.498996414,56.80149347
