trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-f2shv3f2l,4445,183-2,Southbound,"",0,293508,13220,
183-f39uiyl4i,4444,183-2,Northbound,"",1,293522,16606,
183-f4tk2ma62,4445,183-1,Southbound,"",0,293467,13220,
183-f4x0r1a3v,4445,183-2,Southbound,"",0,293507,13220,
183-f5ngoah8o,4445,183-1,Southbound,"",0,293461,13220,
183-f68ra0ds4,4446,183-1,Union Station/South Park,"",1,293459,18480,
183-f9zgnz75j,4444,183-2,Southbound,"",0,293505,16607,
183-Fd1DtgL1Yf_,4446,183-3,Union Station/South Park,"",0,293539,17538,
183-ff05ygy98,4445,183-2,Southbound,"",0,293509,13220,
183-ff1bh5pm2,4443,183-3,Southbound,"",0,293532,12224,
183-ffdrxrgk2,4446,183-2,Union Station/South Park,"",1,293517,18480,
183-ffqgdzupd,4446,183-1,Union Station/South Park,"",0,293463,17538,
183-ffwsds282,4446,183-1,Union Station/South Park,"",1,293453,18480,
183-ffxz7rbv4,4446,183-1,Union Station/South Park,"",0,293459,17538,
183-ffz1yty9k,4443,183-1,Southbound,"",0,293456,12224,
183-fgckdakja,4444,183-1,Southbound,"",0,293487,16607,
183-fifq2irnj,4444,183-2,Southbound,"",0,293520,16607,
183-FjfLrWmCRia,4446,183-3,Union Station/South Park,"",0,293542,17538,
183-fl35llfrn,4443,183-1,Southbound,"",0,293456,12224,
183-fmt8g2dxb,4447,183-1,Little Tokyo/City West,"",0,293450,18751,
183-fnr93pgz5,4444,183-1,Southbound,"",0,293485,16607,
183-fo0o8jwvz,4446,183-1,Union Station/South Park,"",1,293453,18480,
183-fpmpatjlt,4444,183-1,Southbound,"",0,293449,16607,
183-frgmypzf9,4446,183-1,Union Station/South Park,"",0,293470,17538,
183-frrg1q6jo,4446,183-1,Union Station/South Park,"",0,293476,17538,
183-ftfggw15u,4444,183-1,Southbound,"",0,293478,16607,
183-fuze1d4ni,4447,183-1,Little Tokyo/City West,"",0,293446,18751,
183-FVZRy0sHCy,4445,183-3,Southbound,"",0,293537,13220,
183-fz30ag4qz,4444,183-3,Northbound,"",1,293543,16606,
183-fzp26o56i,4444,183-1,Northbound,"",1,293480,16606,
183-g1b6viegu,4446,183-2,Union Station/South Park,"",0,293516,17538,
183-g1m0dp2d3,4447,183-1,Little Tokyo/City West,"",0,293444,18751,
183-g1n2vqai2,4446,183-2,Union Station/South Park,"",1,293514,18480,
183-g1qqugc4o,4447,183-1,Little Tokyo/City West,"",0,293444,18751,
183-g2jkw6ysk,4446,183-1,Union Station/South Park,"",1,293475,18480,
183-g2pzse03i,4447,183-2,Little Tokyo/City West,"",0,293489,18751,
183-g3lgq9nxn,4446,183-2,Union Station/South Park,"",0,293511,17538,
183-g4qiubmpn,4447,183-1,Little Tokyo/City West,"",0,293440,18751,
183-g4yxoz2n0,4444,183-2,Southbound,"",0,293519,16607,
183-g671q4eoo,4446,183-2,Union Station/South Park,"",0,293512,17538,
183-g748thz7b,4443,183-3,Southbound,"",0,293532,12224,
183-g89059ii8,4444,183-1,Northbound,"",1,293484,16606,
183-g8af5rp8y,4447,183-1,Little Tokyo/City West,"",0,293450,18751,
183-g8z5n0zrj,4446,183-2,Union Station/South Park,"",0,293514,17538,
183-ga52jd3e9,4447,183-1,Little Tokyo/City West,"",0,293440,18751,
183-gae8eh7g7,4444,183-2,Northbound,"",1,293520,16606,
183-gath6qjxo,4444,183-1,Southbound,"",0,293478,16607,
183-gb7f1cyrz,4443,183-1,Southbound,"",0,293462,12224,
183-gc3jeeev7,4446,183-1,Union Station/South Park,"",1,293459,18480,
183-gceguryyo,4447,183-1,Little Tokyo/City West,"",0,293440,18751,
183-gcmnudtut,4443,183-2,Southbound,"",0,293503,12224,
183-gd3ine7h4,4447,183-2,Little Tokyo/City West,"",0,293496,18751,
183-gdxwlt33y,4444,183-1,Northbound,"",1,293480,16606,
183-geq7nd9ex,4445,183-2,Southbound,"",0,293508,13220,
183-GfPzxpCat6T,4446,183-3,Union Station/South Park,"",1,293524,18480,
183-gjhwvqok9,4444,183-3,Northbound,"",1,293544,16606,
183-glh1kdsgo,4445,183-1,Southbound,"",0,293468,13220,
183-glpvjqkyx,4446,183-2,Union Station/South Park,"",0,293512,17538,
183-gn0hl03rz,4444,183-1,Northbound,"",1,293487,16606,
183-gnro7rrdb,4445,183-2,Southbound,"",0,293508,13220,
183-go8c0xcjt,4446,183-1,Union Station/South Park,"",0,293476,17538,
183-go8k29rs9,4444,183-1,Southbound,"",0,293479,16607,
183-gpiqk5z8y,4445,183-1,Southbound,"",0,293466,13220,
183-gpjrmxkyc,4446,183-1,Union Station/South Park,"",0,293473,17538,
