service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
183-1,1,1,1,1,1,0,0,20220205,20991231
183-2,0,0,0,0,0,1,0,20220205,20991231
183-3,0,0,0,0,0,0,1,20220205,20991231
30-1,1,1,1,1,1,0,0,20220727,20991231
30-2,0,0,0,0,0,0,1,20220727,20991231
30-3,0,0,0,0,0,1,0,20220727,20991231
44-1,0,0,0,0,0,1,0,20200418,20991231
44-2,1,1,1,1,1,0,0,20200418,20991231
44-3,0,0,0,0,0,0,1,20200418,20991231
45-1,1,1,1,1,1,0,0,20220430,20991231
45-2,0,0,0,0,0,0,1,20220430,20991231
45-3,0,0,0,0,0,1,0,20220430,20991231
47-1,0,0,0,0,0,0,1,20220430,20991231
47-2,1,1,1,1,1,0,0,20220430,20991231
47-3,0,0,0,0,0,1,0,20220430,20991231
