,site_id,site_yn
0,204345954,1.0
3,31555561,1.0
5,31556463,1.0
10,31577889,1.0
14,941658785,1.0
20,263003895,1.0
22,271403973,1.0
24,31540640,1.0
31,31795090,1.0
39,779799288,1.0
42,31516213,1.0
44,31530054,1.0
46,31540470,1.0
50,31298928,1.0
52,420207183,1.0
54,31364163,1.0
55,31368512,1.0
57,31364237,1.0
58,31364282,1.0
76,31299805,1.0
85,31273452,1.0
86,451675376,1.0
87,31273323,1.0
92,31532270,1.0
111,509461869,1.0
154,5393213,1.0
161,467085857,1.0
164,542167400,1.0
169,31278806,1.0
191,31328970,1.0
194,31330038,1.0
203,31292554,1.0
211,31327648,1.0
245,31317628,1.0
262,31293210,1.0
308,438203854,1.0
315,556753440,1.0
429,41783060,1.0
442,943344307,1.0
443,943603621,1.0
445,24030940,1.0
446,943344295,1.0
452,166435596,1.0
455,221319847,1.0
465,223125608,1.0
473,32935535,1.0
475,44040160,1.0
486,222473836,1.0
490,37623738,1.0
502,35451682,1.0
