,site_id,site_yn
6,31556529,1.0
8,31556696,1.0
9,31557528,1.0
11,31579349,1.0
20,263003895,1.0
25,31551423,1.0
27,31796415,1.0
34,552580195,1.0
36,31856156,1.0
38,679932345,1.0
39,779799288,1.0
42,31516213,1.0
55,31368512,1.0
74,31299703,1.0
76,31299805,1.0
83,460261840,1.0
86,451675376,1.0
93,459513357,1.0
142,31239840,1.0
200,268810822,1.0
245,31317628,1.0
262,31293210,1.0
265,31303825,1.0
279,31478027,1.0
293,7397566,1.0
306,31804372,1.0
326,438205402,1.0
433,6644272,1.0
435,728250523,1.0
437,205328816,1.0
440,473550872,1.0
441,909193794,1.0
443,943603621,1.0
446,943344295,1.0
467,229220208,1.0
468,24208638,1.0
471,304485786,1.0
475,44040160,1.0
481,484998348,1.0
486,222473836,1.0
487,223289015,1.0
492,464044699,1.0
493,479032686,1.0
497,481038440,1.0
498,482067952,1.0
499,482068034,1.0
502,35451682,1.0
519,31722830,1.0
525,54582535,1.0
540,203290645,1.0
