route_id,direction_id,direction
SC:22,1,West
AC:93,0,South
AC:93,1,North
AC:45,0,West
AC:45,1,East
AC:95,0,South
AC:95,1,North
AC:99,0,South
AC:99,1,North
AC:51A,1,North
AC:51A,0,South
AC:J,1,East
AC:J,0,West
AC:210,0,South
AC:210,1,North
AC:251,0,South
AC:251,1,North
AC:51B,0,South
AC:51B,1,North
AC:54,0,West
AC:54,1,East
AC:840,0,South
AC:840,1,North
AC:L,1,East
AC:L,0,West
AC:62,0,West
AC:62,1,East
AC:88,0,South
AC:88,1,North
AC:98,1,East
AC:98,0,West
AC:21,1,East
AC:21,0,West
AC:7,1,North
AC:7,0,South
AC:G,1,East
AC:G,0,West
AC:72M,0,South
AC:72M,1,North
AC:F,1,East
AC:F,0,West
AC:65,0,West
AC:65,1,East
AC:57,0,West
AC:57,1,East
AC:40,1,North
AC:40,0,South
AC:W,1,East
AC:W,0,West
AC:O,1,East
AC:O,0,West
AC:39,1,East
AC:39,0,West
AC:LA,0,West
AC:LA,1,East
AC:239,0,South
AC:239,1,North
AC:376,1,North
AC:376,0,South
AC:P,1,East
AC:P,0,West
AC:U,1,East
AC:U,0,West
AC:NX,1,East
AC:NX,0,West
AC:800,1,East
AC:800,0,West
AC:216,1,North
AC:216,0,South
AC:14,1,East
AC:14,0,West
AC:60,1,East
AC:60,0,West
AC:67,0,South
AC:67,1,North
AC:851,0,South
AC:851,1,North
AC:802,0,South
AC:802,1,North
AC:NL,0,West
AC:NL,1,East
AC:V,1,East
AC:V,0,West
AC:52,0,South
AC:52,1,North
AC:217,0,South
AC:217,1,North
AC:1T,1,North
AC:1T,0,South
AC:212,1,North
AC:212,0,South
AC:18,0,South
AC:18,1,North
AC:19,0,West
AC:19,1,East
AC:20,0,West
AC:20,1,East
AC:200,0,South
AC:200,1,North
AC:215,0,South
AC:215,1,North
AC:FS,1,East
AC:FS,0,West
AC:46L,1,East
AC:46L,0,West
AC:232,0,South
AC:232,1,North
AC:10,0,South
AC:10,1,North
AC:35,0,South
AC:35,1,North
AC:41,0,South
AC:41,1,North
AC:56,0,South
AC:56,1,North
AC:6,1,North
AC:6,0,South
AC:90,1,East
AC:90,0,West
AC:97,1,North
AC:97,0,South
AC:73,1,East
AC:73,0,West
AC:72,1,North
AC:72,0,South
AC:74,1,North
AC:74,0,South
AC:801,1,North
AC:801,0,South
AC:805,0,West
AC:805,1,East
AC:86,0,South
AC:86,1,North
AC:702,1,West
AC:706,1,West
AC:701,1,West
AC:78,1,East
AC:78,0,West
AC:76,0,West
AC:76,1,East
AC:70,1,North
AC:70,0,South
AC:72R,1,North
AC:72R,0,South
AC:29,0,West
AC:29,1,East
AC:34,0,South
AC:34,1,North
AC:E,1,East
AC:E,0,West
AC:12,1,North
AC:12,0,South
AC:NX3,1,East
AC:NX3,0,West
AC:620,1,North
AC:620,0,South
AC:621,1,North
AC:621,0,South
AC:623,0,South
AC:623,1,North
AC:624,1,South
AC:625,1,North
AC:625,0,South
AC:626,0,South
AC:626,1,North
AC:628,1,North
AC:628,0,South
AC:629,0,South
AC:629,1,North
AC:631,0,South
AC:631,1,North
AC:OX,1,East
AC:OX,0,West
AC:638,0,West
AC:638,1,East
AC:33,0,West
AC:33,1,East
AC:36,1,North
