,id_site,SQFT_ROOF,cat_site,occ_site
0,100104347,4577.59023751,W,305.17268250066667
1,100104894,3524.21282323,W,234.94752154866669
2,10011906,12379.1600226,W,825.27733484
3,100225721,31810.4008802,W,2120.6933920133333
4,100401026,1191.80802566,W,79.45386837733334
5,100401096,1671.16684007,W,111.41112267133333
6,100568046,8886.92727535,W,592.4618183566668
7,100568050,5486.24314903,W,365.7495432686666
8,102131293,9014.73975356,W,600.9826502373332
9,102248880,6672.95752143,W,444.863834762
10,102523042,6028.23737441,W,401.8824916273333
11,102524134,7360.60166618,W,490.70677774533334
12,102647191,32171.6503145,W,2144.776687633333
13,102656056,3394.00181497,W,226.26678766466665
14,102720223,3239.94012734,W,215.99600848933332
15,102746114,32192.2424491,W,2146.1494966066666
16,102945252,78061.3904931,W,5204.09269954
17,10329747,14618.8883947,W,974.5925596466666
18,103386753,4519.99490459,W,301.3329936393333
19,10383457,14114.0541233,W,940.9369415533333
20,103942800,6090.48025923,W,406.032017282
21,104207464,130714.664546,W,8714.310969733333
22,104225115,791.440297761,W,52.7626865174
23,104448893,6040.66996981,W,402.71133132066666
24,104732378,23915.0312481,W,1594.33541654
25,104821453,5127.64516441,W,341.8430109606667
26,104936591,28955.9571949,W,1930.3971463266666
27,105056143,29556.8259086,W,1970.4550605733334
28,10527735,12965.4913796,W,864.3660919733334
29,105811081,24902.3860506,W,1660.15907004
30,105884728,7803.39717717,W,520.226478478
31,105886093,8874.03561932,W,591.6023746213334
32,10666533,14561.3778738,W,970.75852492
33,10693322,25948.21005,W,1729.88067
34,107214779,17961.3358111,W,1197.4223874066668
35,107385239,15612.7448156,W,1040.8496543733334
36,107385239,5831.12602694,W,388.74173512933334
37,107385239,3576.16746149,W,238.41116409933332
38,107668079,6598.48330803,W,439.898887202
39,107938000,15673.5998617,W,1044.9066574466667
40,10799007,18807.50196,W,1253.833464
41,10864077,92763.5363974,W,6184.235759826667
42,10865370,42837.6563308,W,2855.8437553866665
43,110025139,4991.05591364,W,332.7370609093333
44,110606046,17574.3528761,W,1171.6235250733334
45,110979160,3833.76563383,W,255.58437558866666
46,111069194,10137.9300184,W,675.8620012266667
47,111749946,5377.79063004,W,358.519375336
48,112791954,78460.0182851,W,5230.667885673333
49,112866304,12716.943457,W,847.7962304666667
50,112868134,18403.471127,W,1226.8980751333334
51,11305788,33630.188294,W,2242.012552933333
52,113550928,19764.5641885,W,1317.6376125666668
53,113859897,25188.8165514,W,1679.2544367599999
54,113926894,3571.85288793,W,238.123525862
55,114158249,5610.9406902,W,374.06271268
56,114158255,6110.30012656,W,407.35334177066665
57,114193866,11633.1234666,W,775.54156444
58,114212737,3351.52434588,W,223.434956392
59,114502769,12383.9713465,W,825.5980897666667
60,11486180,21149.5309625,W,1409.9687308333334
61,115412412,2000.7826899,W,133.38551266
62,115421116,3185.92017149,W,212.39467809933333
63,115572972,16749.2344976,W,1116.6156331733332
64,117150926,9348.86043132,W,623.2573620879999
65,11760075,9892.74819089,W,659.5165460593333
66,11776665,44340.9555335,W,2956.063702233333
67,11779295,22668.8099378,W,1511.2539958533334
68,117793371,7761.22187303,W,517.4147915353334
69,118106934,22045.0476944,W,1469.6698462933334
70,118397607,40367.7829112,W,2691.1855274133336
71,11909636,16203.1422957,W,1080.20948638
72,11956139,9936.35975137,W,662.4239834246667
73,12016196,17594.2069041,W,1172.9471269399999
74,120398334,11899.8877193,W,793.3258479533334
75,120398335,20364.3084835,W,1357.6205655666668
76,120398345,13105.9806488,W,873.7320432533332
77,120398460,8306.46862223,W,553.7645748153334
78,120398942,6770.09529393,W,451.339686262
79,120398945,10482.8830099,W,698.8588673266667
80,120650951,12450.9143253,W,830.06095502
81,120651117,7780.267737559999,W,518.6845158373333
82,120651164,7699.06321516,W,513.2708810106667
83,120652982,5999.11503288,W,399.94100219200004
84,120653487,32699.5044989,W,2179.9669665933334
85,120653492,5087.66562036,W,339.17770802399997
86,120653588,6001.33722079,W,400.0891480526667
87,120653938,3199.84035863,W,213.32269057533333
88,12089695,26305.2488505,W,1753.6832567
89,120904807,13814.5352145,W,920.9690143
90,12098717,20482.5475404,W,1365.50316936
91,12105207,27355.4463374,W,1823.6964224933333
92,122024319,20730.5784897,W,1382.0385659800002
93,122089656,23271.1062917,W,1551.4070861133334
94,122089657,16793.1175849,W,1119.5411723266666
95,122093766,18587.1018262,W,1239.1401217466666
96,122886952,28701.3729242,W,1913.4248616133334
97,123286109,30500.0712059,W,2033.3380803933333
98,123539750,3462.61680946,W,230.84112063066667
