,blockgroup,hub
214,G06000104011001,45303398
215,G06000104011001,45303399
216,G06000104011001,479030247
217,G06000104011002,226852758
218,G06000104011002,286961510
219,G06000104011002,400277094
220,G06000104011002,433769471
221,G06000104011002,45303398
222,G06000104011002,45303399
223,G06000104011002,479030247
224,G06000104011003,226852758
225,G06000104011003,286961510
226,G06000104011003,400277094
227,G06000104011003,433769471
228,G06000104011003,45303398
229,G06000104011003,45303399
230,G06000104011003,479030247
231,G06000104011004,226852758
232,G06000104011004,286961510
233,G06000104011004,400277094
234,G06000104011004,433769471
235,G06000104011004,45303398
236,G06000104011004,45303399
237,G06000104011004,479030247
238,G06000104012001,226852758
239,G06000104012001,286961510
240,G06000104012001,400277094
241,G06000104012001,433769471
242,G06000104012001,45303398
243,G06000104012001,45303399
244,G06000104012001,479030247
245,G06000104012002,226852758
246,G06000104012002,286961510
247,G06000104012002,400277094
248,G06000104012002,433769471
249,G06000104012002,45303398
250,G06000104012002,45303399
251,G06000104012002,479030247
252,G06000104012003,226852758
253,G06000104012003,286961510
254,G06000104012003,400277094
255,G06000104012003,433769471
256,G06000104012003,45303398
257,G06000104012003,45303399
258,G06000104012003,479030247
259,G06000104013001,226852758
260,G06000104013001,286961510
261,G06000104013001,400277094
262,G06000104013001,433769471
263,G06000104013001,45303398
264,G06000104013001,479030247
265,G06000104013002,286961510
266,G06000104013002,400277094
267,G06000104013002,433769471
268,G06000104013003,286961510
269,G06000104013003,400277094
270,G06000104013003,433769471
271,G06000104014001,226852758
272,G06000104014001,286961510
273,G06000104014001,400277094
274,G06000104014001,433769471
275,G06000104014001,45303398
276,G06000104014001,45303399
277,G06000104014001,479030247
278,G06000104014002,226852758
279,G06000104014002,286961510
280,G06000104014002,400277094
281,G06000104014002,433769471
282,G06000104014002,45303398
283,G06000104014002,45303399
284,G06000104014002,479030247
285,G06000104014003,286961510
286,G06000104014003,400277094
287,G06000104014003,433769471
288,G06000104014003,479030247
289,G06000104015001,226852758
290,G06000104015001,286961510
291,G06000104015001,400277094
292,G06000104015001,433769471
293,G06000104015001,45303398
294,G06000104015001,45303399
295,G06000104015001,479030247
296,G06000104015002,226852758
297,G06000104015002,286961510
298,G06000104015002,400277094
299,G06000104015002,433769471
300,G06000104015002,45303398
301,G06000104015002,45303399
302,G06000104015002,479030247
303,G06000104015003,226852758
304,G06000104015003,286961510
305,G06000104015003,400277094
306,G06000104015003,433769471
307,G06000104015003,45303398
308,G06000104015003,45303399
309,G06000104015003,479030247
310,G06000104016001,226852758
311,G06000104016001,286961510
312,G06000104016001,400277094
313,G06000104016001,433769471
314,G06000104016001,45303398
315,G06000104016001,45303399
316,G06000104016001,479030247
317,G06000104016002,286961510
318,G06000104016002,400277094
319,G06000104016002,433769471
320,G06000104016002,479030247
321,G06000104017001,226852758
322,G06000104017001,286961510
323,G06000104017001,400277094
324,G06000104017001,433769471
325,G06000104017001,45303398
326,G06000104017001,45303399
327,G06000104017001,479030247
328,G06000104017002,286961510
329,G06000104017002,400277094
330,G06000104017002,433769471
331,G06000104017002,479030247
332,G06000104017003,286961510
333,G06000104017003,400277094
334,G06000104017003,433769471
335,G06000104017003,479030247
336,G06000104018001,286961510
337,G06000104018001,400277094
338,G06000104018001,433769471
339,G06000104018002,286961510
340,G06000104018002,400277094
341,G06000104018002,433769471
342,G06000104022001,286961510
343,G06000104022001,400277094
344,G06000104022001,433769471
345,G06000104022002,286961510
346,G06000104022002,400277094
347,G06000104022002,433769471
348,G06000104022003,286961510
349,G06000104022003,400277094
350,G06000104022003,433769471
351,G06000104024001,286961510
352,G06000104024001,400277094
353,G06000104024001,433769471
354,G06000104024001,479030247
355,G06000104024002,286961510
356,G06000104024002,400277094
357,G06000104024002,433769471
358,G06000104025001,286961510
359,G06000104025001,400277094
360,G06000104025001,433769471
361,G06000104025002,286961510
362,G06000104025002,400277094
363,G06000104025002,433769471
364,G06000104026001,286961510
365,G06000104026001,400277094
