,0
102717671,0.0
102720223,0.0
102746114,0.0
104441907,0.0
106479449,0.0
10666533,0.0
107246811,0.0
107254920,0.0
10864077,0.0
112113127,0.0
112113630,0.0
112192615,0.0
112758049,0.0
11779295,0.0
118106934,0.0
118422329,0.0
118825227,0.0
118825237,0.0
118825251,0.0
12105207,0.0
124693854,0.0
12563891,0.0
125686118,0.0
127740039,0.0
128110768,0.0
128801248,1.0
129601815,0.0
131837314,0.0
135668191,0.0
135955171,0.0
138533981,0.0
138882589,0.0
145086293,0.0
148091049,0.0
154927645,0.0
154927658,0.0
154966452,0.0
154966462,0.0
157172569,0.0
161843746,0.0
162056246,0.0
162056249,0.0
162056250,0.0
166435596,1.0
166436530,1.0
169204245,0.0
170140050,0.0
172111621,0.0
172600443,1.0
1738228,1.0
1738229,0.0
179496056,0.0
185034120,0.0
189326807,0.0
189370220,0.0
192123449,0.0
192123600,0.0
192123696,0.0
192123864,0.0
194871780,0.0
194871781,0.0
195245479,0.0
195247925,0.0
195248360,0.0
195254080,0.0
195257367,0.0
195467121,0.0
195870835,0.0
196329693,0.0
197050441,0.0
199894417,0.0
202055927,0.0
203193334,0.0
203290644,0.0
203290645,0.0
203316809,0.0
203316816,0.0
204092696,0.0
204092699,0.0
204197288,0.0
204197573,0.0
204197574,0.0
204197940,0.0
204197942,0.0
204198144,0.0
204345954,-0.0
205328816,0.0
205384770,0.0
205501689,0.0
206599464,0.0
206599465,0.0
206599467,0.0
206599468,0.0
208161491,0.0
208176862,0.0
208973178,0.0
209399838,0.0
209734785,0.0
210717799,0.0
211503858,0.0
212256102,0.0
214487314,0.0
215827733,0.0
220839211,0.0
220839215,0.0
220840122,0.0
220840123,0.0
220840125,0.0
221319847,1.0
221426714,0.0
222136476,-0.0
222473836,0.0
222844194,0.0
223125608,-0.0
223289015,0.0
223289016,0.0
224921469,0.0
225063373,0.0
225531967,0.0
226363714,0.0
226365561,0.0
226420947,0.0
226852756,0.0
226852758,0.0
226855353,0.0
227311487,0.0
22775119,0.0
227756285,0.0
228856907,0.0
22916692,0.0
229220208,0.0
22942715,0.0
22958127,0.0
22958176,0.0
22961553,0.0
22961558,0.0
229620079,0.0
229620083,0.0
229620086,0.0
22989041,0.0
230067115,1.0
230180239,0.0
230197323,0.0
230391604,0.0
230398976,0.0
230525118,0.0
230525884,-0.0
230527917,0.0
230604912,0.0
230605410,0.0
230610300,0.0
230612046,0.0
230612047,0.0
230612048,0.0
23074364,0.0
230783642,0.0
231409734,1.0
231410289,1.0
231662080,0.0
232019756,-0.0
232097407,0.0
232201429,0.0
232201433,0.0
233061218,0.0
233075216,0.0
233153341,-0.0
233173242,0.0
233473159,0.0
233473160,-0.0
233693944,0.0
233693948,0.0
233937591,0.0
233937592,0.0
23597202,0.0
236493068,0.0
237881575,1.0
23810205,0.0
238476902,0.0
24030940,1.0
24208638,1.0
24221444,0.0
24225610,0.0
242995380,0.0
243353700,0.0
243466311,0.0
243591036,0.0
24446086,0.0
24513728,0.0
24638973,1.0
